Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change5 (Nominal),Net Change 25 (Numeric),Net Change 25 (Nominal)
30/11/2012,AXP,New York,56.09,55.71,55.86,55.9,55.95,55.91,56.05,5716100,"56,400",0.04,Positive,0.26,Positive,4,Positive
3/12/2012,AXP,New York,56.53,55.93,56.09,55.99,55.92,56.08,56.19,4954600,"56,400",-0.1,Negative,0.52,Positive,4.11,Positive
4/12/2012,AXP,New York,56.19,55.47,55.9,55.84,56.12,56.12,56.34,3912300,"56,400",-0.06,Negative,0.85,Positive,4.36,Positive
5/12/2012,AXP,New York,56.66,55.75,55.89,56.4,56.26,56.38,56.59,5667500,"56,400",0.51,Positive,1.17,Positive,4.9,Positive
6/12/2012,AXP,New York,56.33,55.88,56.3,56.12,56.37,56.49,56.84,3854400,"56,400",-0.18,Negative,1.37,Positive,4.94,Positive
7/12/2012,AXP,New York,56.64,56.2,56.25,56.61,56.68,56.81,57.16,3689200,"56,400",0.36,Positive,1.47,Positive,4.96,Positive
10/12/2012,AXP,New York,56.95,56.42,56.67,56.75,56.91,57.16,57.17,3784000,"56,400",0.08,Positive,-0.02,Equal,4.09,Positive
11/12/2012,AXP,New York,57.59,56.92,57,57.06,57.36,57.48,57.27,4342800,"56,400",0.06,Positive,0.27,Positive,3.62,Positive
12/12/2012,AXP,New York,58.35,57.18,57.35,57.67,57.69,57.35,57.43,5941700,"56,400",0.32,Positive,0.47,Positive,3.39,Positive
13/12/2012,AXP,New York,58,57.5,57.66,57.72,57.19,57.21,57.25,4725900,"56,400",0.06,Positive,-0.87,Negative,2.12,Positive
14/12/2012,AXP,New York,57.65,56.51,57.51,56.65,56.96,57.25,57.19,5063200,"56,400",-0.86,Negative,-0.11,Negative,1.89,Positive
17/12/2012,AXP,New York,57.35,56.79,56.9,57.27,57.55,57.29,57.39,5799100,"56,400",0.37,Positive,0.75,Positive,2.03,Positive
18/12/2012,AXP,New York,58.22,57.61,57.75,57.82,57.31,57.34,57.44,7184000,"56,400",0.07,Positive,-0.22,Negative,1.55,Positive
19/12/2012,AXP,New York,57.69,56.74,57.42,56.79,57.1,57.28,57.3,6768200,"56,400",-0.63,Negative,-0.29,Negative,2.08,Positive
20/12/2012,AXP,New York,57.41,56.82,56.89,57.4,57.53,57.53,57.28,5641700,"56,400",0.51,Positive,-0.2,Negative,2.18,Positive
21/12/2012,AXP,New York,57.81,56.36,57.19,57.65,57.59,57.44,57.13,11464700,"56,400",0.46,Positive,-0.52,Negative,2.26,Positive
24/12/2012,AXP,New York,57.94,57.44,57.55,57.53,57.33,57.12,57.1,2192800,"56,400",-0.02,Negative,-0.07,Negative,1.78,Positive
26/12/2012,AXP,New York,57.71,57.06,57.62,57.13,56.91,56.83,57.34,3389200,"56,400",-0.49,Negative,1.13,Positive,1.19,Positive
27/12/2012,AXP,New York,57.25,55.88,57.16,56.69,56.68,56.95,57.72,5292300,"56,400",-0.47,Negative,1.84,Positive,2.75,Positive
28/12/2012,AXP,New York,57.04,56.37,56.44,56.67,57.07,57.63,58.3,4094000,"56,400",0.23,Positive,3.17,Positive,2.97,Positive
31/12/2012,AXP,New York,57.49,56.24,56.47,57.48,58.12,58.41,58.94,5604600,"56,400",1.01,Positive,3.39,Positive,4.19,Positive
2/1/2013,AXP,New York,58.95,58.31,58.33,58.75,58.88,59.12,59.48,6091400,"56,400",0.42,Positive,1.87,Positive,2.23,Positive
3/1/2013,AXP,New York,59.26,58.63,58.8,59,59.31,59.49,59.79,5017000,"56,400",0.2,Positive,1.46,Positive,3.34,Positive
4/1/2013,AXP,New York,59.66,58.46,59.08,59.61,59.74,59.89,60.14,4017200,"56,400",0.53,Positive,1.71,Positive,2.72,Positive
7/1/2013,AXP,New York,59.99,59.28,59.28,59.86,60.03,60.11,60.47,3859400,"56,400",0.58,Positive,1.96,Positive,2.7,Positive
8/1/2013,AXP,New York,60.32,59.53,59.68,60.2,60.23,60.42,60.74,4960900,"56,400",0.52,Positive,1.53,Positive,2.52,Positive
9/1/2013,AXP,New York,60.9,60.15,60.42,60.26,60.52,60.76,60.85,5885600,"56,400",-0.16,Negative,0.34,Positive,1.68,Positive
10/1/2013,AXP,New York,60.79,60.09,60.44,60.79,61.02,61.08,60.92,6545300,"56,400",0.35,Positive,0.18,Positive,1.9,Positive
11/1/2013,AXP,New York,61.97,60.31,60.5,61.24,61.23,61.07,60.91,10492500,"56,400",0.74,Positive,0.24,Positive,1.19,Positive
14/1/2013,AXP,New York,61.39,60.71,60.78,61.21,60.98,60.86,60.62,5176600,"56,400",0.43,Positive,-1,Negative,1.5,Positive
15/1/2013,AXP,New York,60.84,60.03,60.15,60.76,60.69,60.71,60.26,6399000,"56,400",0.61,Positive,-0.75,Negative,1.76,Positive
16/1/2013,AXP,New York,60.85,60.48,60.82,60.62,60.68,60.38,59.89,4020900,"56,400",-0.2,Negative,-1.89,Negative,0.72,Positive
17/1/2013,AXP,New York,61.2,60.58,61.1,60.74,60.26,59.97,59.63,4684200,"56,400",-0.36,Negative,-1.8,Negative,1.47,Positive
18/1/2013,AXP,New York,60.28,58.9,59.87,59.78,59.59,59.37,59.38,9935600,"56,400",-0.09,Negative,-0.37,Negative,2.15,Positive
22/1/2013,AXP,New York,59.9,59.01,59.62,59.4,59.17,59.21,59.24,7228400,"56,400",-0.22,Negative,-0.55,Negative,2.3,Positive
23/1/2013,AXP,New York,59.29,58.8,59.22,58.93,59.11,59.24,59.25,6265300,"56,400",-0.29,Negative,0.23,Positive,3.28,Positive
24/1/2013,AXP,New York,59.51,59.01,59.14,59.3,59.4,59.29,59.33,5430800,"56,400",0.16,Positive,0.19,Positive,3.01,Positive
25/1/2013,AXP,New York,59.7,59.19,59.57,59.5,59.29,59.34,59.23,4124000,"56,400",-0.07,Negative,-0.76,Negative,2.8,Positive
28/1/2013,AXP,New York,59.55,58.7,59.36,59.07,59.26,59.28,59.31,5216200,"56,400",-0.29,Negative,0.55,Positive,3.53,Positive
29/1/2013,AXP,New York,59.57,58.95,59.08,59.45,59.39,59.2,59.38,5533100,"56,400",0.37,Positive,0.33,Positive,5.04,Positive
30/1/2013,AXP,New York,59.67,59.16,59.24,59.33,59.07,59.35,59.62,5894100,"56,400",0.09,Positive,1.42,Positive,5.41,Positive
31/1/2013,AXP,New York,59.82,58.81,59.37,58.81,59.36,59.38,59.87,5940900,"56,400",-0.56,Negative,1.19,Positive,5.19,Positive
1/2/2013,AXP,New York,60.12,59.3,59.33,59.91,59.66,59.99,60.54,6036400,"56,400",0.58,Positive,2.81,Positive,5.37,Positive
4/2/2013,AXP,New York,59.74,59.21,59.46,59.41,60.04,60.21,60.91,4618600,"56,400",-0.05,Negative,2.34,Positive,6.04,Positive
5/2/2013,AXP,New York,60.9,59.68,59.78,60.66,60.61,61.12,61.43,6394000,"56,400",0.88,Positive,2.2,Positive,5.51,Positive
6/2/2013,AXP,New York,60.81,59.93,59.93,60.56,61.35,61.5,61.74,6304600,"56,400",0.63,Positive,2.27,Positive,5.37,Positive
7/2/2013,AXP,New York,62.34,60.55,60.56,62.14,61.97,61.97,62.04,11977900,"56,400",1.58,Positive,1.54,Positive,4.82,Positive
8/2/2013,AXP,New York,62.33,61.48,62.06,61.8,61.89,61.99,62.08,6734900,"56,400",-0.26,Negative,0.28,Positive,4.03,Positive
11/2/2013,AXP,New York,62.05,61.36,61.7,61.98,62.09,62.09,62.06,3436100,"56,400",0.28,Positive,-0.01,Negative,4.08,Positive
12/2/2013,AXP,New York,62.56,61.95,62.09,62.2,62.15,62.21,62.12,4255200,"56,400",0.11,Positive,0.19,Positive,3.04,Positive
13/2/2013,AXP,New York,62.76,61.89,62.45,62.1,62.22,62.04,62.06,3409000,"56,400",-0.35,Negative,-0.54,Negative,3.55,Positive
14/2/2013,AXP,New York,62.65,61.83,62.08,62.34,62.01,62.1,61.95,4432600,"56,400",0.26,Positive,-0.54,Negative,3.33,Positive
15/2/2013,AXP,New York,62.68,61.43,62.57,61.69,61.98,61.96,62,5354400,"56,400",-0.88,Negative,0,Equal,3.65,Positive
19/2/2013,AXP,New York,62.4,61.67,61.67,62.28,62.09,61.91,62.06,3598900,"56,400",0.61,Positive,0.35,Positive,4.43,Positive
20/2/2013,AXP,New York,62.47,61.87,62.06,61.91,61.73,62.01,61.99,5532700,"56,400",-0.15,Negative,-0.14,Negative,5.11,Positive
21/2/2013,AXP,New York,62,61.14,61.87,61.54,62.06,62.04,62.11,5287500,"56,400",-0.33,Negative,0.63,Positive,5.28,Positive
22/2/2013,AXP,New York,62.58,61.79,61.86,62.57,62.3,62.17,62.23,5197100,"56,400",0.71,Positive,0.29,Positive,5.6,Positive
25/2/2013,AXP,New York,63,61.99,62.77,62.02,61.97,62.15,62.19,8624700,"56,400",-0.75,Negative,-0.4,Negative,4.49,Positive
26/2/2013,AXP,New York,62.18,61.55,62.06,61.92,62.21,62.19,62.37,5938100,"56,400",-0.14,Negative,0.83,Positive,5.58,Positive
27/2/2013,AXP,New York,62.6,61.63,61.73,62.5,62.33,62.34,62.81,4755400,"56,400",0.77,Positive,2.39,Positive,4.52,Positive
28/2/2013,AXP,New York,62.65,61.88,62.43,62.15,62.26,62.47,63.24,5366500,"56,400",-0.28,Negative,2.22,Positive,4.3,Positive
1/3/2013,AXP,New York,62.49,61.51,61.84,62.37,62.63,63.13,63.72,5265100,"56,400",0.53,Positive,2.72,Positive,3.46,Positive
4/3/2013,AXP,New York,63,62.04,62.22,62.89,63.51,63.89,64.18,4687900,"56,400",0.67,Positive,2.48,Positive,3.38,Positive
5/3/2013,AXP,New York,64.42,63.06,63.26,64.12,64.39,64.44,64.71,7315900,"56,400",0.86,Positive,2.24,Positive,1.96,Positive
6/3/2013,AXP,New York,64.94,64.35,64.41,64.65,64.61,64.64,64.94,5780900,"56,400",0.24,Positive,0.88,Positive,0.99,Positive
7/3/2013,AXP,New York,64.88,64.14,64.73,64.56,64.63,64.92,65.07,4446500,"56,400",-0.17,Negative,0.57,Positive,1.01,Positive
8/3/2013,AXP,New York,64.76,63.67,64.66,64.7,65.1,65.16,65.23,5810000,"56,400",0.04,Positive,0.72,Positive,1.02,Positive
11/3/2013,AXP,New York,65.62,64.71,64.73,65.5,65.4,65.36,65.51,5307700,"56,400",0.77,Positive,1.36,Positive,-0.63,Negative
12/3/2013,AXP,New York,65.79,65.06,65.63,65.29,65.3,65.32,65.57,5303700,"56,400",-0.34,Negative,0.15,Positive,-1.04,Negative
13/3/2013,AXP,New York,65.6,65.12,65.24,65.3,65.34,65.59,65.54,4203900,"56,400",0.06,Positive,-0.11,Negative,-1.11,Negative
14/3/2013,AXP,New York,65.75,65.29,65.42,65.38,65.73,65.75,65.68,3760100,"56,400",-0.04,Negative,0.58,Positive,-0.38,Negative
15/3/2013,AXP,New York,66.43,65.34,65.64,66.09,65.93,65.67,65.68,10265700,"56,400",0.45,Positive,-0.23,Negative,1.6,Positive
18/3/2013,AXP,New York,66.13,64.76,65.06,65.78,65.45,65.64,65.71,4880300,"56,400",0.72,Positive,1.16,Positive,1.6,Positive
19/3/2013,AXP,New York,66.14,64.8,65.99,65.13,65.56,65.51,65.77,4587400,"56,400",-0.86,Negative,0.11,Positive,1.46,Positive
20/3/2013,AXP,New York,66.14,65.45,65.45,66,65.71,65.88,66.18,4137800,"56,400",0.55,Positive,1.72,Positive,1.97,Positive
21/3/2013,AXP,New York,65.99,65.25,65.83,65.41,65.82,65.91,66.41,3600100,"56,400",-0.42,Negative,1.32,Positive,2.3,Positive
22/3/2013,AXP,New York,66.35,65.54,65.59,66.22,66.16,66.5,66.82,3860600,"56,400",0.63,Positive,1.87,Positive,2.16,Positive
25/3/2013,AXP,New York,66.77,65.82,66.59,66.1,66.63,66.81,67.03,6599300,"56,400",-0.49,Negative,0.67,Positive,1.04,Positive
26/3/2013,AXP,New York,67.24,66.37,66.4,67.17,67.16,67.26,67.34,4295600,"56,400",0.77,Positive,1.24,Positive,2.01,Positive
27/3/2013,AXP,New York,67.26,66.6,66.6,67.15,67.31,67.29,67.15,2905000,"56,400",0.55,Positive,-0.35,Negative,1.68,Positive
28/3/2013,AXP,New York,67.48,67,67.31,67.46,67.36,67.45,67.07,4354300,"56,400",0.15,Positive,-0.58,Negative,2.07,Positive
1/4/2013,AXP,New York,67.75,67.01,67.42,67.26,67.45,67.05,66.64,3012600,"56,400",-0.16,Negative,-2.12,Negative,2.81,Positive
2/4/2013,AXP,New York,67.76,67.1,67.38,67.64,66.94,66.87,66.3,3921600,"56,400",0.26,Positive,-1.78,Negative,2.68,Positive
3/4/2013,AXP,New York,67.69,66.04,67.66,66.25,66.49,66.09,65.82,5102000,"56,400",-1.41,Negative,-2.44,Negative,2.58,Positive
4/4/2013,AXP,New York,66.96,66.3,66.42,66.73,66.02,65.88,65.65,3633900,"56,400",0.31,Positive,-1.02,Negative,3.89,Positive
5/4/2013,AXP,New York,65.8,64.77,65.77,65.3,65.45,65.37,65.45,6898300,"56,400",-0.47,Negative,-0.03,Negative,4.44,Positive
8/4/2013,AXP,New York,65.78,65.13,65.56,65.6,65.41,65.41,65.53,4662200,"56,400",0.04,Positive,0.12,Positive,4.52,Positive
9/4/2013,AXP,New York,65.68,65.15,65.64,65.22,65.31,65.45,65.23,4882200,"56,400",-0.42,Negative,-1.54,Negative,4.15,Positive
10/4/2013,AXP,New York,65.58,65.36,65.45,65.4,65.57,65.61,65.1,7882100,"56,400",-0.05,Negative,-0.86,Negative,6.06,Positive
11/4/2013,AXP,New York,65.93,65.2,65.47,65.74,65.71,65.17,64.85,6357700,"56,400",0.27,Positive,-1.34,Negative,7.31,Positive
12/4/2013,AXP,New York,65.85,65.18,65.46,65.68,64.89,64.79,64.71,3967600,"56,400",0.22,Positive,-0.42,Negative,6.77,Positive
15/4/2013,AXP,New York,65.6,64.09,65.53,64.1,64.34,64.27,65.02,7008600,"56,400",-1.43,Negative,1.71,Positive,7.79,Positive
16/4/2013,AXP,New York,65.05,64.27,64.5,64.59,64.36,64.59,65.53,6198900,"56,400",0.09,Positive,2.16,Positive,9.9,Positive
17/4/2013,AXP,New York,64.31,63.43,64.12,64.13,64.58,65.47,66.1,6925000,"56,400",0.01,Positive,3.33,Positive,10.99,Positive
18/4/2013,AXP,New York,65.89,63.64,64.04,65.04,66.14,66.31,66.76,10457800,"56,400",1,Positive,3.38,Positive,10.4,Positive
19/4/2013,AXP,New York,67.25,65.33,65.33,67.24,66.95,67.12,67.38,8461600,"56,400",1.91,Positive,2.8,Positive,9.36,Positive
22/4/2013,AXP,New York,67.25,66.25,67.12,66.66,67.06,67.18,67.48,5791500,"56,400",-0.46,Negative,0.63,Positive,8.15,Positive
23/4/2013,AXP,New York,67.54,66.64,66.81,67.45,67.43,67.67,67.68,4779900,"56,400",0.64,Positive,0.82,Positive,9.35,Positive
24/4/2013,AXP,New York,67.62,67.04,67.41,67.42,67.77,67.77,67.87,4077700,"56,400",0.01,Positive,1,Positive,8.42,Positive
25/4/2013,AXP,New York,69.05,67.64,67.75,68.13,67.94,67.84,68.04,5834100,"56,400",0.38,Positive,0.53,Positive,8.39,Positive
26/4/2013,AXP,New York,68.4,67.57,68.12,67.75,67.69,67.93,68.29,4355300,"56,400",-0.37,Negative,1.26,Positive,7.59,Positive
29/4/2013,AXP,New York,68.2,67.61,68.01,67.63,68.02,68.11,68.79,2931000,"56,400",-0.38,Negative,2.22,Positive,8.46,Positive
30/4/2013,AXP,New York,68.48,67.6,67.88,68.41,68.35,68.69,69.27,4685400,"56,400",0.53,Positive,2.18,Positive,8.18,Positive
1/5/2013,AXP,New York,68.85,68.16,68.25,68.28,68.83,69.3,69.64,3767300,"56,400",0.03,Positive,1.99,Positive,6.51,Positive
2/5/2013,AXP,New York,69.47,68.37,68.43,69.38,69.81,69.89,70.04,3575900,"56,400",0.95,Positive,1.88,Positive,7.81,Positive
3/5/2013,AXP,New York,71.09,69.9,69.92,70.23,70.15,70.18,70.21,6986600,"56,400",0.31,Positive,0.29,Positive,8.12,Positive
6/5/2013,AXP,New York,70.58,69.95,70.22,70.06,70.15,70.2,70.18,4685300,"56,400",-0.16,Negative,-0.14,Negative,8.06,Positive
7/5/2013,AXP,New York,70.46,69.96,70.07,70.24,70.27,70.25,70.13,4374900,"56,400",0.17,Positive,-0.28,Negative,6.45,Positive
8/5/2013,AXP,New York,70.42,69.57,69.92,70.31,70.26,70.2,70.38,3587500,"56,400",0.39,Positive,1.59,Positive,4.8,Positive
9/5/2013,AXP,New York,70.51,69.71,70.25,70.21,70.15,70.03,70.87,3754900,"56,400",-0.04,Negative,2.53,Positive,4.96,Positive
10/5/2013,AXP,New York,70.25,69.65,70.16,70.08,69.94,70.46,71.28,3543100,"56,400",-0.08,Negative,2.07,Positive,2.81,Positive
13/5/2013,AXP,New York,70.21,69.34,70.09,69.79,70.65,71.36,71.93,5139300,"56,400",-0.3,Negative,3.23,Positive,3.75,Positive
14/5/2013,AXP,New York,71.61,69.85,69.95,71.51,72.15,72.17,72.85,6114300,"56,400",1.56,Positive,4.45,Positive,5.03,Positive
15/5/2013,AXP,New York,73.04,71.33,71.33,72.78,72.51,72.78,73.57,5215300,"56,400",1.45,Positive,3.78,Positive,2.9,Positive
16/5/2013,AXP,New York,72.95,72.13,72.61,72.23,72.78,73.32,73.9,3861500,"56,400",-0.38,Negative,1.83,Positive,0.31,Positive
17/5/2013,AXP,New York,73.38,72.26,72.28,73.32,73.86,74.28,74.39,4866500,"56,400",1.04,Positive,2.41,Positive,1.03,Positive
20/5/2013,AXP,New York,74.54,73.22,73.31,74.4,74.76,74.65,74.78,5345300,"56,400",1.09,Positive,1.96,Positive,-1.3,Negative
21/5/2013,AXP,New York,75.46,74.4,74.47,75.11,74.78,74.75,75.13,5130200,"56,400",0.64,Positive,1.69,Positive,-1.24,Negative
22/5/2013,AXP,New York,77.01,74.28,75.43,74.44,74.57,74.8,75.28,12449000,"56,400",-0.99,Negative,0.4,Positive,-1.53,Negative
23/5/2013,AXP,New York,74.99,73.61,73.88,74.69,74.98,75.37,75.62,7985100,"56,400",0.81,Positive,2.26,Positive,1.24,Positive
24/5/2013,AXP,New York,75.35,73.98,74.09,75.27,75.72,75.75,75.82,5564000,"56,400",1.18,Positive,1.62,Positive,0.67,Positive
28/5/2013,AXP,New York,77.12,75.89,75.91,76.16,76,76.04,76.06,7341400,"56,400",0.25,Positive,0.56,Positive,-0.27,Negative
29/5/2013,AXP,New York,76.65,75.39,75.8,75.83,75.99,75.89,76.04,5679200,"56,400",0.03,Positive,0.26,Positive,-1.18,Negative
30/5/2013,AXP,New York,76.9,75.92,76.02,76.14,75.92,76.11,75.83,5417400,"56,400",0.12,Positive,-1.26,Negative,-1.44,Negative
31/5/2013,AXP,New York,77.39,75.71,76.13,75.71,76.09,76.08,75.85,7187700,"56,400",-0.42,Negative,0.11,Positive,0.18,Positive
3/6/2013,AXP,New York,76.67,75.63,75.89,76.47,76.26,75.76,76.31,6777800,"56,400",0.58,Positive,2.15,Positive,1.15,Positive
4/6/2013,AXP,New York,77.24,75.96,76.5,76.06,75.41,75.69,76.68,5667700,"56,400",-0.44,Negative,1.78,Positive,1.11,Positive
5/6/2013,AXP,New York,76.28,74.64,75.98,74.76,75.5,76.35,76.77,6267300,"56,400",-1.22,Negative,0.54,Positive,0.35,Positive
6/6/2013,AXP,New York,76.25,74.64,74.75,76.24,77.14,77.52,76.76,5455600,"56,400",1.49,Positive,-0.03,Negative,2.19,Positive
7/6/2013,AXP,New York,78.12,76.45,76.68,78.04,78.16,77.61,76.55,6826100,"56,400",1.36,Positive,-1.47,Negative,1.65,Positive
