Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change  0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change 25 (Numeric),Net Change25 (Nominal)
30/11/2012,BAC,Charlotte,9.87,9.76,9.78,9.86,9.83,9.86,10.1,108739700,"209,839",0.08,Positive,0.68,Positive,2.31,Positive
3/12/2012,BAC,Charlotte,9.94,9.78,9.93,9.8,9.86,10.06,10.25,99872800,"209,839",-0.13,Negative,0.71,Positive,2.05,Positive
4/12/2012,BAC,Charlotte,9.91,9.77,9.79,9.91,10.19,10.28,10.41,144124500,"209,839",0.12,Positive,0.78,Positive,1.64,Positive
5/12/2012,BAC,Charlotte,10.56,9.95,9.97,10.46,10.46,10.52,10.53,463491000,"209,839",0.49,Positive,0.54,Positive,1.81,Positive
6/12/2012,BAC,Charlotte,10.58,10.29,10.51,10.46,10.55,10.56,10.56,176607900,"209,839",-0.05,Negative,0.1,Positive,1.12,Positive
7/12/2012,BAC,Charlotte,10.68,10.48,10.56,10.64,10.61,10.57,10.57,192055100,"209,839",0.08,Positive,-0.02,Negative,0.91,Positive
10/12/2012,BAC,Charlotte,10.63,10.46,10.6,10.57,10.54,10.56,10.56,148065200,"209,839",-0.03,Negative,-0.02,Negative,0.95,Positive
11/12/2012,BAC,Charlotte,10.71,10.5,10.64,10.51,10.56,10.55,10.65,159121300,"209,839",-0.13,Negative,0.36,Positive,1.14,Positive
12/12/2012,BAC,Charlotte,10.7,10.51,10.59,10.61,10.58,10.58,10.82,166819300,"209,839",0.02,Positive,0.77,Positive,0.69,Positive
13/12/2012,BAC,Charlotte,10.66,10.51,10.59,10.54,10.56,10.71,10.93,106232100,"209,839",-0.05,Negative,0.6,Positive,0.55,Positive
14/12/2012,BAC,Charlotte,10.6,10.52,10.55,10.58,10.79,10.98,11.13,91707200,"209,839",0.03,Positive,0.97,Positive,0.8,Positive
17/12/2012,BAC,Charlotte,11,10.64,10.65,11,11.18,11.18,11.27,170087700,"209,839",0.35,Positive,0.64,Positive,0.77,Positive
18/12/2012,BAC,Charlotte,11.36,11.05,11.24,11.36,11.28,11.36,11.32,255238400,"209,839",0.12,Positive,0.01,Positive,0.29,Positive
19/12/2012,BAC,Charlotte,11.49,11.17,11.4,11.19,11.36,11.33,11.36,193013700,"209,839",-0.21,Negative,0.14,Positive,0.22,Positive
20/12/2012,BAC,Charlotte,11.52,11.08,11.1,11.52,11.41,11.35,11.41,184449000,"209,839",0.42,Positive,0.37,Positive,0.38,Positive
21/12/2012,BAC,Charlotte,11.35,11.12,11.2,11.29,11.27,11.36,11.38,244892300,"209,839",0.09,Positive,0.16,Positive,0.29,Positive
24/12/2012,BAC,Charlotte,11.29,11.21,11.27,11.25,11.4,11.42,11.45,50657100,"209,839",-0.02,Negative,0.34,Positive,0.11,Positive
26/12/2012,BAC,Charlotte,11.63,11.27,11.29,11.54,11.51,11.46,11.6,146097900,"209,839",0.25,Positive,0.74,Positive,0.03,Positive
27/12/2012,BAC,Charlotte,11.69,11.23,11.66,11.47,11.42,11.48,11.69,210411400,"209,839",-0.19,Negative,0.3,Positive,0.05,Positive
28/12/2012,BAC,Charlotte,11.49,11.27,11.32,11.36,11.49,11.67,11.81,131872200,"209,839",0.04,Positive,0.79,Positive,0.16,Positive
31/12/2012,BAC,Charlotte,11.65,11.3,11.37,11.61,11.82,11.87,11.96,170837500,"209,839",0.24,Positive,0.72,Positive,0.51,Positive
2/1/2013,BAC,Charlotte,12.15,11.9,12.05,12.03,12,12.03,12.03,236021400,"209,839",-0.02,Negative,-0.07,Negative,-0.12,Negative
3/1/2013,BAC,Charlotte,12.05,11.88,12.01,11.96,12.04,12.05,11.91,157149700,"209,839",-0.05,Negative,-0.58,Negative,-0.17,Negative
4/1/2013,BAC,Charlotte,12.11,11.93,11.97,12.11,12.1,12.06,11.88,132601900,"209,839",0.14,Positive,-0.19,Negative,-0.21,Negative
7/1/2013,BAC,Charlotte,12.2,12,12.15,12.09,12.04,11.83,11.78,201403500,"209,839",-0.06,Negative,-0.52,Negative,-0.29,Negative
8/1/2013,BAC,Charlotte,12.1,11.89,12.09,11.98,11.71,11.73,11.66,168461100,"209,839",-0.11,Negative,-0.62,Negative,0.16,Positive
9/1/2013,BAC,Charlotte,12,11.33,11.87,11.43,11.61,11.61,11.57,335692000,"209,839",-0.44,Negative,-0.32,Negative,0.3,Positive
10/1/2013,BAC,Charlotte,11.81,11.54,11.61,11.78,11.71,11.63,11.64,199964900,"209,839",0.17,Positive,0.17,Positive,0.52,Positive
11/1/2013,BAC,Charlotte,11.72,11.51,11.7,11.63,11.55,11.55,11.54,146136700,"209,839",-0.07,Negative,-0.42,Negative,0.33,Positive
14/01/2013,BAC,Charlotte,11.63,11.38,11.61,11.47,11.51,11.6,11.44,110032900,"209,839",-0.14,Negative,-0.47,Negative,0.58,Positive
15/01/2013,BAC,Charlotte,11.62,11.3,11.38,11.55,11.67,11.54,11.42,126058300,"209,839",0.17,Positive,-0.03,Negative,0.42,Positive
16/01/2013,BAC,Charlotte,11.79,11.47,11.58,11.78,11.53,11.4,11.39,164579300,"209,839",0.2,Positive,-0.16,Negative,-0.16,Negative
17/01/2013,BAC,Charlotte,11.7,11.17,11.69,11.28,11.21,11.26,11.34,323622200,"209,839",-0.41,Negative,-0.16,Negative,-0.25,Negative
18/01/2013,BAC,Charlotte,11.33,11.02,11.26,11.14,11.25,11.3,11.41,179971800,"209,839",-0.12,Negative,0.36,Positive,-0.23,Negative
22/01/2013,BAC,Charlotte,11.36,11.09,11.12,11.35,11.39,11.43,11.48,137242700,"209,839",0.23,Positive,0.36,Positive,0.01,Positive
23/01/2013,BAC,Charlotte,11.44,11.23,11.38,11.42,11.48,11.52,11.51,121638200,"209,839",0.04,Positive,0.11,Positive,-0.08,Negative
24/01/2013,BAC,Charlotte,11.67,11.42,11.45,11.53,11.58,11.54,11.5,127870800,"209,839",0.08,Positive,-0.07,Negative,-0.22,Negative
25/01/2013,BAC,Charlotte,11.72,11.51,11.69,11.62,11.55,11.53,11.46,100171600,"209,839",-0.07,Negative,-0.37,Negative,-0.35,Negative
28/01/2013,BAC,Charlotte,11.67,11.43,11.64,11.48,11.49,11.45,11.48,91304200,"209,839",-0.16,Negative,0.07,Positive,-0.23,Negative
29/01/2013,BAC,Charlotte,11.58,11.4,11.42,11.49,11.44,11.4,11.48,96824100,"209,839",0.07,Positive,0.06,Positive,0.13,Positive
30/01/2013,BAC,Charlotte,11.54,11.35,11.49,11.38,11.35,11.47,11.55,89130200,"209,839",-0.11,Negative,0.39,Positive,0.43,Positive
31/01/2013,BAC,Charlotte,11.36,11.22,11.32,11.32,11.52,11.5,11.66,97024700,"209,839",0,Equal,0.61,Positive,0.94,Positive
1/2/2013,BAC,Charlotte,11.73,11.37,11.41,11.71,11.6,11.69,11.77,161141300,"209,839",0.3,Positive,0.43,Positive,0.66,Positive
4/2/2013,BAC,Charlotte,11.69,11.46,11.58,11.48,11.68,11.76,11.78,139733000,"209,839",-0.1,Negative,0.18,Positive,0.57,Positive
5/2/2013,BAC,Charlotte,11.98,11.56,11.59,11.88,11.91,11.88,11.85,187785900,"209,839",0.29,Positive,0.27,Positive,0.42,Positive
6/2/2013,BAC,Charlotte,11.97,11.73,11.73,11.93,11.89,11.84,11.93,173626800,"209,839",0.2,Positive,0.52,Positive,0.33,Positive
7/2/2013,BAC,Charlotte,11.98,11.73,11.97,11.84,11.8,11.82,11.98,173209900,"209,839",-0.13,Negative,0.2,Positive,0.14,Positive
8/2/2013,BAC,Charlotte,11.9,11.72,11.86,11.76,11.81,11.96,12.03,145321100,"209,839",-0.1,Negative,0.27,Positive,0.71,Positive
11/2/2013,BAC,Charlotte,11.9,11.67,11.73,11.86,12.06,12.09,12.09,103510800,"209,839",0.13,Positive,0.3,Positive,0.83,Positive
12/2/2013,BAC,Charlotte,12.34,11.78,11.87,12.25,12.21,12.18,12.15,232173900,"209,839",0.38,Positive,0.32,Positive,0.84,Positive
13/02/2013,BAC,Charlotte,12.42,12.05,12.35,12.17,12.15,12.11,12.06,192742500,"209,839",-0.18,Negative,-0.55,Negative,0.43,Positive
14/02/2013,BAC,Charlotte,12.27,12.07,12.09,12.13,12.08,12.12,11.91,144104800,"209,839",0.04,Positive,-0.67,Negative,0.48,Positive
15/02/2013,BAC,Charlotte,12.21,11.97,12.21,12.03,12.11,12.01,11.78,158242700,"209,839",-0.18,Negative,-0.77,Negative,0.35,Positive
19/02/2013,BAC,Charlotte,12.31,12.06,12.1,12.19,12,11.8,11.58,170783400,"209,839",0.09,Positive,-1.07,Negative,0.3,Positive
20/02/2013,BAC,Charlotte,12.29,11.75,12.18,11.8,11.61,11.55,11.36,193466400,"209,839",-0.38,Negative,-1.05,Negative,0.1,Positive
21/02/2013,BAC,Charlotte,11.73,11.35,11.73,11.42,11.43,11.3,11.26,235532400,"209,839",-0.31,Negative,-0.43,Negative,0.5,Positive
22/02/2013,BAC,Charlotte,11.64,11.26,11.62,11.44,11.24,11.2,11.23,179268200,"209,839",-0.18,Negative,-0.39,Negative,0.56,Positive
25/02/2013,BAC,Charlotte,11.61,10.98,11.6,11.03,11.08,11.15,11.21,206893900,"209,839",-0.57,Negative,-0.26,Negative,0.55,Positive
26/02/2013,BAC,Charlotte,11.22,11.03,11.12,11.13,11.22,11.22,11.28,173039600,"209,839",0.01,Positive,0.29,Positive,1.03,Positive
27/02/2013,BAC,Charlotte,11.36,11.1,11.15,11.3,11.27,11.29,11.37,147145400,"209,839",0.15,Positive,0.4,Positive,0.66,Positive
28/02/2013,BAC,Charlotte,11.37,11.2,11.33,11.23,11.29,11.33,11.49,143546700,"209,839",-0.1,Negative,0.59,Positive,0.61,Positive
1/3/2013,BAC,Charlotte,11.55,11.02,11.13,11.34,11.38,11.43,11.7,189050700,"209,839",0.21,Positive,1.13,Positive,0.84,Positive
4/3/2013,BAC,Charlotte,11.45,11.22,11.27,11.41,11.48,11.63,11.84,116436000,"209,839",0.14,Positive,0.8,Positive,0.94,Positive
5/3/2013,BAC,Charlotte,11.71,11.53,11.56,11.55,11.74,11.91,11.99,135869700,"209,839",-0.01,Negative,0.59,Positive,0.69,Positive
6/3/2013,BAC,Charlotte,12.02,11.76,11.77,11.92,12.09,12.08,12.08,182557500,"209,839",0.15,Positive,0.24,Positive,0.55,Positive
7/3/2013,BAC,Charlotte,12.28,11.98,12,12.26,12.17,12.16,12.11,212403800,"209,839",0.26,Positive,0.06,Positive,0.27,Positive
8/3/2013,BAC,Charlotte,12.44,12.02,12.42,12.07,12.11,12.08,12.08,209777100,"209,839",-0.35,Negative,-0.31,Negative,-0.25,Negative
11/3/2013,BAC,Charlotte,12.22,12.02,12.08,12.15,12.08,12.07,12.18,106427800,"209,839",0.07,Positive,0.49,Positive,-0.1,Negative
12/3/2013,BAC,Charlotte,12.18,11.91,12.11,12.01,12.04,12.06,12.26,128134700,"209,839",-0.1,Negative,0.45,Positive,0.17,Positive
13/03/2013,BAC,Charlotte,12.11,11.98,12.04,12.06,12.09,12.25,12.4,86216800,"209,839",0.02,Positive,0.67,Positive,-0.34,Negative
14/03/2013,BAC,Charlotte,12.19,12.1,12.12,12.11,12.34,12.41,12.55,115440000,"209,839",-0.01,Negative,0.66,Positive,-0.68,Negative
15/03/2013,BAC,Charlotte,12.66,12.35,12.52,12.57,12.57,12.61,12.64,319019100,"209,839",0.05,Positive,0.05,Positive,-0.86,Negative
18/03/2013,BAC,Charlotte,12.68,12.26,12.29,12.56,12.64,12.68,12.64,189783300,"209,839",0.27,Positive,0.27,Positive,-0.57,Negative
19/03/2013,BAC,Charlotte,12.94,12.59,12.79,12.71,12.75,12.69,12.6,242939600,"209,839",-0.08,Negative,-0.39,Negative,-0.72,Negative
20/03/2013,BAC,Charlotte,12.89,12.71,12.79,12.78,12.68,12.64,12.52,219121700,"209,839",-0.01,Negative,-0.51,Negative,-0.48,Negative
21/03/2013,BAC,Charlotte,12.84,12.55,12.71,12.57,12.57,12.51,12.41,154529400,"209,839",-0.14,Negative,-0.48,Negative,-0.27,Negative
22/03/2013,BAC,Charlotte,12.67,12.48,12.62,12.56,12.48,12.41,12.33,101974400,"209,839",-0.06,Negative,-0.44,Negative,-0.2,Negative
25/03/2013,BAC,Charlotte,12.72,12.32,12.68,12.4,12.34,12.3,12.25,154320200,"209,839",-0.28,Negative,-0.53,Negative,-0.3,Negative
26/03/2013,BAC,Charlotte,12.5,12.15,12.45,12.28,12.26,12.23,12.2,135654700,"209,839",-0.17,Negative,-0.3,Negative,-0.14,Negative
27/03/2013,BAC,Charlotte,12.28,12.12,12.14,12.23,12.21,12.19,12.1,107177200,"209,839",0.09,Positive,-0.33,Negative,0,Equal
28/03/2013,BAC,Charlotte,12.28,12.11,12.24,12.18,12.17,12.16,12.05,92013900,"209,839",-0.06,Negative,-0.3,Negative,-0.05,Negative
1/4/2013,BAC,Charlotte,12.28,12.1,12.15,12.15,12.15,12.04,12,86281600,"209,839",0,Equal,-0.18,Negative,0.09,Positive
2/4/2013,BAC,Charlotte,12.25,12.14,12.24,12.15,11.98,11.97,12.02,102626000,"209,839",-0.09,Negative,-0.03,Negative,0.64,Positive
3/4/2013,BAC,Charlotte,12.14,11.72,12.12,11.81,11.88,11.91,12.04,199765800,"209,839",-0.31,Negative,0.13,Positive,0.78,Positive
4/4/2013,BAC,Charlotte,11.99,11.72,11.81,11.94,11.96,12.04,12.14,117831400,"209,839",0.13,Positive,0.51,Positive,1.21,Positive
5/4/2013,BAC,Charlotte,12.01,11.64,11.67,11.97,12.09,12.14,12.2,141061900,"209,839",0.3,Positive,0.6,Positive,1.24,Positive
8/4/2013,BAC,Charlotte,12.21,11.91,12,12.21,12.23,12.26,12.24,101419200,"209,839",0.21,Positive,0.17,Positive,1.02,Positive
9/4/2013,BAC,Charlotte,12.35,12.21,12.25,12.25,12.29,12.28,12.2,132365800,"209,839",0,Equal,-0.27,Negative,0.73,Positive
10/4/2013,BAC,Charlotte,12.4,12.26,12.31,12.32,12.3,12.25,12.2,105853900,"209,839",0.01,Positive,-0.03,Negative,1.03,Positive
11/4/2013,BAC,Charlotte,12.33,12.16,12.31,12.27,12.22,12.14,12.08,100241900,"209,839",-0.04,Negative,-0.61,Negative,1.13,Positive
12/4/2013,BAC,Charlotte,12.25,12.07,12.15,12.17,12.08,12.14,11.91,88191700,"209,839",0.02,Positive,-0.71,Negative,1.21,Positive
15/04/2013,BAC,Charlotte,12.32,11.97,12.19,11.98,12.13,11.99,11.81,176504300,"209,839",-0.21,Negative,-0.53,Negative,1.24,Positive
16/04/2013,BAC,Charlotte,12.36,12.08,12.21,12.28,11.99,11.81,11.76,147641900,"209,839",0.07,Positive,-0.49,Negative,1.3,Positive
17/04/2013,BAC,Charlotte,12.02,11.45,11.91,11.7,11.57,11.6,11.72,335408600,"209,839",-0.21,Negative,0.16,Positive,1.53,Positive
18/04/2013,BAC,Charlotte,11.65,11.23,11.61,11.44,11.55,11.61,11.84,220290500,"209,839",-0.17,Negative,0.7,Positive,1.7,Positive
19/04/2013,BAC,Charlotte,11.69,11.43,11.56,11.66,11.69,11.82,12.04,119792000,"209,839",0.1,Positive,0.88,Positive,1.65,Positive
22/04/2013,BAC,Charlotte,11.75,11.57,11.68,11.72,11.9,12.03,12.19,88532300,"209,839",0.04,Positive,0.74,Positive,1.56,Positive
23/04/2013,BAC,Charlotte,12.16,11.9,11.92,12.07,12.19,12.27,12.32,176816000,"209,839",0.15,Positive,0.46,Positive,1.43,Positive
