Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days ,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,BBT,Winston-Salem,28.42,27.97,28.27,28.17,28.04,27.92,27.97,3279800,"37,500",-0.1,Negative,-0.04,Negative,1.77,Positive
3/12/2012,BBT,Winston-Salem,28.41,27.76,28.31,27.91,27.8,27.82,28.02,4293100,"37,500",-0.4,Negative,0.11,Positive,1.52,Positive
4/12/2012,BBT,Winston-Salem,27.97,27.52,27.88,27.69,27.78,27.93,28.11,4064600,"37,500",-0.19,Negative,0.48,Positive,2.16,Positive
5/12/2012,BBT,Winston-Salem,28.01,27.68,27.68,27.86,28.05,28.17,28.27,5822000,"37,500",0.18,Positive,0.78,Positive,2.86,Positive
6/12/2012,BBT,Winston-Salem,28.24,27.76,27.83,28.23,28.33,28.34,28.46,4312000,"37,500",0.4,Positive,1.01,Positive,2.48,Positive
7/12/2012,BBT,Winston-Salem,28.49,28.23,28.27,28.42,28.39,28.41,28.53,3646700,"37,500",0.15,Positive,0.31,Positive,1.99,Positive
10/12/2012,BBT,Winston-Salem,28.58,28.13,28.32,28.36,28.41,28.55,28.51,3238500,"37,500",0.04,Positive,-0.03,Negative,2,Positive
11/12/2012,BBT,Winston-Salem,28.61,28.33,28.34,28.46,28.65,28.63,28.66,3637200,"37,500",0.12,Positive,0.81,Positive,1.97,Positive
12/12/2012,BBT,Winston-Salem,29.1,28.53,28.6,28.84,28.71,28.57,28.9,5792800,"37,500",0.24,Positive,1.04,Positive,2.29,Positive
13/12/2012,BBT,Winston-Salem,28.91,28.43,28.88,28.58,28.44,28.67,29.03,4035300,"37,500",-0.3,Negative,0.63,Positive,2.16,Positive
14/12/2012,BBT,Winston-Salem,28.57,28.25,28.53,28.29,28.72,29.03,29.25,3248800,"37,500",-0.24,Negative,1.11,Positive,2.32,Positive
17/12/2012,BBT,Winston-Salem,29.18,28.38,28.48,29.15,29.39,29.43,29.48,4658800,"37,500",0.67,Positive,0.97,Positive,2.28,Positive
18/12/2012,BBT,Winston-Salem,29.67,29,29.25,29.64,29.57,29.6,29.5,7419600,"37,500",0.39,Positive,-0.01,Negative,1.66,Positive
19/12/2012,BBT,Winston-Salem,29.77,29.31,29.39,29.51,29.57,29.53,29.41,3949400,"37,500",0.12,Positive,-0.18,Negative,1.48,Positive
