Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data for 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,C,New York,35.24,34.22,34.95,34.57,34.4,34.36,35.31,41674500,"213,000",-0.38,Negative,2.07,Positive,7.52,Positive
3/12/2012,C,New York,34.99,34.13,34.96,34.22,34.26,34.99,35.93,38383600,"213,000",-0.74,Negative,2.68,Positive,7.5,Positive
4/12/2012,C,New York,34.51,34.07,34.13,34.29,35.38,35.92,36.52,31781900,"213,000",0.16,Positive,3.06,Positive,7.91,Positive
5/12/2012,C,New York,37.07,35.1,35.27,36.46,36.74,37.04,37.06,84672900,"213,000",1.19,Positive,1.73,Positive,7.56,Positive
6/12/2012,C,New York,37.03,36.25,36.59,37.02,37.33,37.28,37.28,44260900,"213,000",0.43,Positive,0.94,Positive,5.75,Positive
7/12/2012,C,New York,37.75,37.31,37.42,37.64,37.41,37.28,37.33,43946600,"213,000",0.22,Positive,-0.13,Negative,4.8,Positive
10/12/2012,C,New York,37.5,37.03,37.35,37.19,37.09,37.24,37.32,26715900,"213,000",-0.16,Negative,0.25,Positive,5.22,Positive
11/12/2012,C,New York,37.56,36.83,37.43,37,37.26,37.27,37.71,29748900,"213,000",-0.43,Negative,1.72,Positive,5.05,Positive
12/12/2012,C,New York,37.82,37.11,37.15,37.53,37.41,37.47,38.21,42252800,"213,000",0.38,Positive,2.31,Positive,4.09,Positive
13/12/2012,C,New York,37.75,37.22,37.5,37.29,37.44,38.01,38.59,30445400,"213,000",-0.21,Negative,1.95,Positive,4.16,Positive
14/12/2012,C,New York,37.68,37.13,37.31,37.6,38.38,38.74,39.17,24596000,"213,000",0.29,Positive,2.86,Positive,4.47,Positive
17/12/2012,C,New York,39.2,37.76,37.77,39.15,39.31,39.35,39.54,52474700,"213,000",1.38,Positive,1.72,Positive,4.25,Positive
18/12/2012,C,New York,39.94,38.78,39.21,39.46,39.46,39.69,39.59,62611800,"213,000",0.25,Positive,0.17,Positive,3.59,Positive
19/12/2012,C,New York,40.11,39.31,39.69,39.45,39.81,39.7,39.61,45812600,"213,000",-0.24,Negative,-0.14,Negative,3.22,Positive
20/12/2012,C,New York,40.18,39.3,39.32,40.17,39.83,39.68,39.57,37806600,"213,000",0.85,Positive,-0.07,Negative,3.02,Positive
21/12/2012,C,New York,39.65,38.5,38.9,39.49,39.44,39.47,39.34,47568200,"213,000",0.59,Positive,0.11,Positive,3.26,Positive
24/12/2012,C,New York,39.55,39.16,39.34,39.38,39.47,39.39,39.35,8674800,"213,000",0.04,Positive,0.22,Positive,2.61,Positive
26/12/2012,C,New York,39.75,39.18,39.41,39.55,39.4,39.27,39.72,20297700,"213,000",0.14,Positive,1.84,Positive,2.75,Positive
27/12/2012,C,New York,39.88,38.59,39.68,39.25,39.13,39.27,40.09,30332300,"213,000",-0.43,Negative,1.71,Positive,3.34,Positive
28/12/2012,C,New York,39.25,38.77,38.82,39.01,39.28,39.94,40.73,24563800,"213,000",0.19,Positive,3.61,Positive,3.39,Positive
31/12/2012,C,New York,39.6,38.65,38.94,39.56,40.41,40.73,41.42,37172800,"213,000",0.62,Positive,3.53,Positive,3.98,Positive
2/1/2013,C,New York,41.4,40.7,40.91,41.25,41.32,41.69,42,45648500,"213,000",0.34,Positive,1.55,Positive,2.14,Positive
3/1/2013,C,New York,41.5,41.04,41.17,41.39,41.91,42.1,42.16,38343300,"213,000",0.22,Positive,0.87,Positive,1.7,Positive
4/1/2013,C,New York,42.54,41.63,41.76,42.43,42.45,42.45,42.45,46310100,"213,000",0.67,Positive,1.07,Positive,0.92,Positive
7/1/2013,C,New York,42.55,41.97,42.54,42.47,42.47,42.32,42.43,36305100,"213,000",-0.07,Negative,-0.2,Negative,0.61,Positive
8/1/2013,C,New York,42.47,42.03,42.29,42.46,42.25,42.44,42.38,28185200,"213,000",0.17,Positive,-0.07,Negative,2.06,Positive
