Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data for 3 Days,Aggregated Data 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change 25 (Numeric),Net Change 25 (Nominal)
30/11/2012,CMA,Dallas,29.79,29.39,29.46,29.59,29.36,29.18,29.59,3532600,"7,659",0.13,Positive,-0.53,Negative,2.88,Positive
3/12/2012,CMA,Dallas,29.8,29.07,29.73,29.12,28.97,28.95,29.12,2460800,"7,659",-0.61,Negative,-0.6,Negative,2.2,Positive
4/12/2012,CMA,Dallas,29.19,28.61,29.06,28.82,28.87,28.89,28.82,2584900,"7,659",-0.24,Negative,0.2,Positive,2.54,Positive
5/12/2012,CMA,Dallas,29.19,28.81,28.91,28.91,28.92,28.99,28.91,2738600,"7,659",0,Equal,0.51,Positive,3.19,Positive
6/12/2012,CMA,Dallas,28.98,28.73,28.9,28.93,29.03,29.11,28.93,1723200,"7,659",0.03,Positive,0.37,Positive,2.93,Positive
7/12/2012,CMA,Dallas,29.15,28.96,29.01,29.13,29.19,29.27,29.13,1282600,"7,659",0.12,Positive,-0.14,Negative,2.71,Positive
10/12/2012,CMA,Dallas,29.58,28.89,29.05,29.26,29.34,29.32,29.26,1498300,"7,659",0.21,Positive,-0.39,Negative,2.82,Positive
11/12/2012,CMA,Dallas,29.49,29.27,29.32,29.42,29.35,29.19,29.42,1940600,"7,659",0.1,Positive,0.04,Positive,3.73,Positive
12/12/2012,CMA,Dallas,29.68,29.19,29.5,29.27,29.07,28.93,29.27,3158200,"7,659",-0.23,Negative,0.92,Positive,4.01,Positive
13/12/2012,CMA,Dallas,29.13,28.8,28.99,28.87,28.77,28.96,28.87,2462900,"7,659",-0.12,Negative,1.17,Positive,4.67,Positive
14/12/2012,CMA,Dallas,28.95,28.63,28.82,28.66,29.01,29.48,28.66,1234700,"7,659",-0.16,Negative,1.59,Positive,4.97,Positive
17/12/2012,CMA,Dallas,29.38,28.71,28.78,29.36,29.89,29.98,29.36,1747900,"7,659",0.58,Positive,1.4,Positive,4.71,Positive
18/12/2012,CMA,Dallas,30.45,29.39,29.39,30.42,30.29,30.33,30.42,3114200,"7,659",1.03,Positive,0.62,Positive,4.17,Positive
19/12/2012,CMA,Dallas,30.54,30.14,30.49,30.16,30.29,30.25,30.16,1774500,"7,659",-0.33,Negative,-0.22,Negative,3.22,Positive
20/12/2012,CMA,Dallas,30.49,30.14,30.21,30.41,30.3,30.2,30.41,1226600,"7,659",0.2,Positive,-0.04,Negative,3.65,Positive
21/12/2012,CMA,Dallas,30.33,29.7,29.7,30.18,30.1,30.15,30.18,2495400,"7,659",0.48,Positive,0.43,Positive,4.19,Positive
24/12/2012,CMA,Dallas,30.2,29.8,30.03,30.01,30.14,30.15,30.01,623400,"7,659",-0.02,Negative,0.31,Positive,4.27,Positive
26/12/2012,CMA,Dallas,30.37,29.93,30.1,30.27,30.22,30.19,30.27,1371400,"7,659",0.17,Positive,1.22,Positive,4.26,Positive
27/12/2012,CMA,Dallas,30.34,29.73,30.25,30.17,30.15,30.21,30.17,1515000,"7,659",-0.08,Negative,1.47,Positive,4.81,Positive
28/12/2012,CMA,Dallas,30.3,29.84,29.95,30.13,30.23,30.6,30.13,1603100,"7,659",0.18,Positive,2.64,Positive,4.36,Positive
31/12/2012,CMA,Dallas,30.34,29.95,30.01,30.34,30.83,31.13,30.34,1898300,"7,659",0.33,Positive,2.33,Positive,4.82,Positive
2/1/2013,CMA,Dallas,31.32,30.73,30.98,31.32,31.52,31.88,31.32,2220200,"7,659",0.34,Positive,0.95,Positive,4.16,Positive
3/1/2013,CMA,Dallas,31.83,31.03,31.38,31.72,32.15,32.22,31.72,3715200,"7,659",0.34,Positive,0.22,Positive,3.71,Positive
4/1/2013,CMA,Dallas,32.62,31.63,31.78,32.59,32.47,32.29,32.59,4584100,"7,659",0.81,Positive,0.32,Positive,3.59,Positive
7/1/2013,CMA,Dallas,32.56,32.01,32.38,32.34,32.14,31.96,32.34,2842200,"7,659",-0.04,Negative,-0.55,Negative,2.68,Positive
8/1/2013,CMA,Dallas,32.3,31.83,32.29,31.93,31.77,31.88,31.93,2046800,"7,659",-0.36,Negative,-0.57,Negative,2.71,Positive
9/1/2013,CMA,Dallas,32.06,31.48,31.69,31.6,31.85,31.84,31.6,2510100,"7,659",-0.09,Negative,0.18,Positive,3.41,Positive
10/1/2013,CMA,Dallas,32.17,31.58,31.87,32.1,31.96,31.88,32.1,2740200,"7,659",0.23,Positive,1.18,Positive,3.45,Positive
11/1/2013,CMA,Dallas,32.04,31.46,32.03,31.83,31.77,31.81,31.83,1622900,"7,659",-0.2,Negative,1.48,Positive,2.8,Positive
14/01/2013,CMA,Dallas,31.88,31.5,31.81,31.72,31.8,32.21,31.72,1805700,"7,659",-0.09,Negative,1.85,Positive,3.59,Positive
15/01/2013,CMA,Dallas,31.93,31.47,31.47,31.87,32.46,32.81,31.87,2334000,"7,659",0.4,Positive,2.32,Positive,3.24,Positive
16/01/2013,CMA,Dallas,33.2,31.27,31.97,33.05,33.28,33.41,33.05,4462900,"7,659",1.08,Positive,1.52,Positive,1.63,Positive
17/01/2013,CMA,Dallas,33.91,33.17,33.17,33.51,33.58,33.65,33.51,5570800,"7,659",0.34,Positive,0.39,Positive,1.13,Positive
18/01/2013,CMA,Dallas,33.85,33.15,33.63,33.66,33.73,33.65,33.66,2724100,"7,659",0.03,Positive,0.08,Positive,-0.11,Negative
22/01/2013,CMA,Dallas,33.83,33.53,33.55,33.79,33.64,33.61,33.79,2060700,"7,659",0.24,Positive,0.31,Positive,0.01,Positive
23/01/2013,CMA,Dallas,33.7,33.43,33.67,33.49,33.53,33.59,33.49,2396900,"7,659",-0.18,Negative,0.22,Positive,0.19,Positive
24/01/2013,CMA,Dallas,33.82,33.43,33.51,33.56,33.64,33.71,33.56,1370400,"7,659",0.05,Positive,0.79,Positive,0.87,Positive
25/01/2013,CMA,Dallas,33.74,33.46,33.68,33.71,33.79,33.82,33.71,1327100,"7,659",0.03,Positive,0.68,Positive,0.8,Positive
28/01/2013,CMA,Dallas,33.96,33.55,33.65,33.86,33.88,34.02,33.86,1724300,"7,659",0.21,Positive,1.41,Positive,1.51,Positive
29/01/2013,CMA,Dallas,34.02,33.65,33.79,33.89,34.09,34.18,33.89,2425400,"7,659",0.1,Positive,0.52,Positive,1.04,Positive
30/01/2013,CMA,Dallas,34.35,33.77,33.77,34.3,34.33,34.57,34.3,3159500,"7,659",0.53,Positive,1.06,Positive,1.52,Positive
31/01/2013,CMA,Dallas,34.45,33.6,33.86,34.36,34.71,34.58,34.36,4051900,"7,659",0.5,Positive,1.28,Positive,1.46,Positive
1/2/2013,CMA,Dallas,35.21,34.5,34.55,35.06,34.69,34.73,35.06,3369600,"7,659",0.51,Positive,0.54,Positive,1.74,Positive
4/2/2013,CMA,Dallas,34.73,34.23,34.69,34.31,34.57,34.76,34.31,2099800,"7,659",-0.38,Negative,0.68,Positive,2.01,Positive
5/2/2013,CMA,Dallas,34.95,34.48,34.48,34.83,34.99,35.02,34.83,2115500,"7,659",0.35,Positive,0.58,Positive,1.84,Positive
6/2/2013,CMA,Dallas,35.18,34.47,34.61,35.14,35.11,35.2,35.14,2213000,"7,659",0.53,Positive,0.39,Positive,1.84,Positive
7/2/2013,CMA,Dallas,35.28,34.86,35.19,35.09,35.23,35.17,35.09,1641800,"7,659",-0.1,Negative,-0.09,Negative,1.59,Positive
8/2/2013,CMA,Dallas,35.4,35,35.19,35.37,35.22,35.14,35.37,1480600,"7,659",0.18,Positive,0.13,Positive,1.58,Positive
11/2/2013,CMA,Dallas,35.25,34.71,34.72,35.06,35.03,35.05,35.06,2061500,"7,659",0.34,Positive,0.11,Positive,1.45,Positive
12/2/2013,CMA,Dallas,35.22,34.93,35.15,35,35.05,35.14,35,2152000,"7,659",-0.15,Negative,0.25,Positive,0.77,Positive
13/02/2013,CMA,Dallas,35.4,34.94,35.19,35.1,35.21,35.08,35.1,1822000,"7,659",-0.09,Negative,-0.48,Negative,0.92,Positive
14/02/2013,CMA,Dallas,35.4,34.95,35,35.32,35.08,35.18,35.32,2133300,"7,659",0.32,Positive,-1.4,Negative,0.99,Positive
15/02/2013,CMA,Dallas,35.2,34.73,34.91,34.83,35.12,34.98,34.83,2634500,"7,659",-0.08,Negative,-0.61,Negative,1.34,Positive
19/02/2013,CMA,Dallas,35.56,34.81,35.01,35.4,35.06,34.57,35.4,2730400,"7,659",0.39,Positive,-1.49,Negative,0.99,Positive
20/02/2013,CMA,Dallas,35.43,34.68,35.37,34.71,34.15,34.2,34.71,3539400,"7,659",-0.66,Negative,-1.81,Negative,0.72,Positive
21/02/2013,CMA,Dallas,34.62,33.56,34.52,33.6,33.95,33.81,33.6,4882700,"7,659",-0.92,Negative,-0.66,Negative,1.18,Positive
22/02/2013,CMA,Dallas,34.35,33.84,33.88,34.3,33.91,33.79,34.3,1782800,"7,659",0.42,Positive,0.5,Positive,2.07,Positive
25/02/2013,CMA,Dallas,34.61,33.43,34.52,33.52,33.54,33.65,33.52,2132100,"7,659",-1,Negative,-0.04,Negative,0.76,Positive
26/02/2013,CMA,Dallas,33.77,33.29,33.68,33.56,33.71,33.93,33.56,1577600,"7,659",-0.12,Negative,1.48,Positive,1.47,Positive
27/02/2013,CMA,Dallas,33.92,33.5,33.59,33.86,34.12,34.24,33.86,2152000,"7,659",0.27,Positive,1.24,Positive,0.6,Positive
28/02/2013,CMA,Dallas,34.68,33.83,33.83,34.38,34.43,34.67,34.38,2528300,"7,659",0.55,Positive,1.46,Positive,0.41,Positive
1/3/2013,CMA,Dallas,34.56,33.79,34.17,34.48,34.82,34.82,34.48,2101000,"7,659",0.31,Positive,1.15,Positive,0.34,Positive
4/3/2013,CMA,Dallas,35.19,34.31,34.34,35.16,35,35.09,35.16,2376000,"7,659",0.82,Positive,1.95,Positive,0.31,Positive
5/3/2013,CMA,Dallas,35.46,34.72,35.31,34.83,35.06,35.15,34.83,3173800,"7,659",-0.48,Negative,1.39,Positive,-0.36,Negative
6/3/2013,CMA,Dallas,35.42,34.96,35.09,35.29,35.31,35.63,35.29,2102700,"7,659",0.2,Positive,1.23,Positive,0.37,Positive
7/3/2013,CMA,Dallas,35.89,35.17,35.34,35.32,35.81,36.1,35.32,3125300,"7,659",-0.02,Negative,1.11,Positive,0.11,Positive
8/3/2013,CMA,Dallas,36.35,35.6,35.63,36.29,36.5,36.44,36.29,2695900,"7,659",0.66,Positive,1.15,Positive,-0.58,Negative
11/3/2013,CMA,Dallas,36.99,36.26,36.28,36.7,36.51,36.49,36.7,2624800,"7,659",0.42,Positive,0.49,Positive,-2.15,Negative
12/3/2013,CMA,Dallas,36.74,36.23,36.66,36.32,36.39,36.52,36.32,1697900,"7,659",-0.34,Negative,-0.49,Negative,-1.88,Negative
13/03/2013,CMA,Dallas,36.52,36.05,36.27,36.45,36.62,36.67,36.45,1037300,"7,659",0.18,Positive,-0.35,Negative,-1.85,Negative
14/03/2013,CMA,Dallas,36.82,36.55,36.66,36.78,36.77,36.57,36.78,1838400,"7,659",0.12,Positive,-0.55,Negative,-2.36,Negative
15/03/2013,CMA,Dallas,36.92,36.36,36.57,36.77,36.47,36.29,36.77,2900400,"7,659",0.2,Positive,-0.58,Negative,-1.71,Negative
18/03/2013,CMA,Dallas,36.46,35.98,36.03,36.17,36.04,36.07,36.17,2384700,"7,659",0.14,Positive,0.22,Positive,-1.33,Negative
