 ,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change 25 (Numeric),Net Change  25 (Nominal)
30/11/2012,COF,McLean,58.349998,57.43,58.099998,57.599998,57.47,57.6,57.6,3338700,"49,900",-0.5,Negative,-0.83,Negative,4.78,Positive
3/12/2012,COF,McLean,58.110001,57.27,57.84,57.330002,57.18,57.33,57.33,2889600,"49,900",-0.51,Negative,-0.77,Negative,4.32,Positive
4/12/2012,COF,McLean,57.400002,56.630001,57.369999,57.02,57.03,57.02,57.02,2391400,"49,900",-0.35,Negative,0.13,Positive,4.94,Positive
5/12/2012,COF,McLean,57.790001,56.450001,57.240002,57.049999,57.16,57.05,57.05,3125600,"49,900",-0.19,Negative,1.02,Positive,5.63,Positive
6/12/2012,COF,McLean,57.93,56.330002,57.93,57.27,57.17,57.27,57.27,2946000,"49,900",-0.66,Negative,0.49,Positive,4.06,Positive
7/12/2012,COF,McLean,57.98,56.82,57.639999,57.07,57.29,57.07,57.07,3205800,"49,900",-0.57,Negative,0.36,Positive,3.64,Positive
10/12/2012,COF,McLean,57.799999,56.779999,56.91,57.5,57.88,57.5,57.5,2931400,"49,900",0.59,Positive,-0.08,Negative,4.79,Positive
11/12/2012,COF,McLean,58.700001,57.610001,57.66,58.259998,58.34,58.26,58.26,4002200,"49,900",0.6,Positive,0.35,Positive,4.09,Positive
12/12/2012,COF,McLean,58.91,57.82,58.389999,58.419998,58.21,58.42,58.42,3744900,"49,900",0.03,Positive,1.47,Positive,3.20,Positive
13/12/2012,COF,McLean,58.529999,57.73,58.400002,58,57.42,58,58,3087700,"49,900",-0.4,Negative,0.32,Positive,-1.41,Negative
14/12/2012,COF,McLean,57.93,56.669998,57.82,56.830002,57.42,56.83,56.83,3363600,"49,900",-0.99,Negative,1.33,Positive,-1.66,Negative
17/12/2012,COF,McLean,58.27,57.049999,57.09,58.009998,58.93,58.01,58.01,3700000,"49,900",0.92,Positive,1.80,Positive,-0.85,Negative
18/12/2012,COF,McLean,59.939999,58.240002,58.240002,59.860001,59.29,59.86,59.86,5200100,"49,900",1.62,Positive,0.31,Positive,-1.38,Negative
19/12/2012,COF,McLean,59.900002,58.709999,59.849998,58.720001,58.94,58.72,58.72,3513900,"49,900",-1.13,Negative,-2.06,Negative,-3.53,Negative
20/12/2012,COF,McLean,59.169998,58.290001,58.68,59.150002,59.02,59.15,59.15,6657400,"49,900",0.47,Positive,-1.33,Negative,-2.68,Negative
21/12/2012,COF,McLean,59.380001,58.310001,58.790001,58.889999,58.72,58.89,58.89,4359300,"49,900",0.1,Positive,-1.69,Negative,-3.17,Negative
24/12/2012,COF,McLean,58.860001,58.389999,58.860001,58.549999,58.17,58.55,58.55,578100,"49,900",-0.31,Negative,-0.93,Negative,-2.30,Negative
