Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,DFS,Riverwoods,41.79,41.39,41.53,41.61,41.42,41.28,41.05,5116800,"15,549",0.08,Positive,-0.97,Negative,-2.11,Negative
3/12/2012,DFS,Riverwoods,42.08,41.21,41.81,41.23,41.12,41.03,40.96,3623400,"15,549",-0.58,Negative,-0.66,Negative,-1.72,Negative
4/12/2012,DFS,Riverwoods,41.34,40.9,41.21,41,40.93,40.81,40.87,3530100,"15,549",-0.21,Negative,-0.43,Negative,-1.36,Negative
5/12/2012,DFS,Riverwoods,41.27,40.55,41.15,40.87,40.72,40.86,40.75,3269600,"15,549",-0.28,Negative,-0.78,Negative,-0.67,Negative
6/12/2012,DFS,Riverwoods,40.91,40.11,40.87,40.56,40.86,40.83,40.77,4292200,"15,549",-0.31,Negative,0.13,Positive,-0.48,Negative
7/12/2012,DFS,Riverwoods,41.31,40.82,40.86,41.15,40.97,40.77,40.74,3371400,"15,549",0.29,Positive,-0.48,Negative,-1.13,Negative
10/12/2012,DFS,Riverwoods,41.11,40.47,40.91,40.78,40.57,40.72,40.41,2980300,"15,549",-0.13,Negative,-1.37,Negative,-1.57,Negative
11/12/2012,DFS,Riverwoods,40.98,40.16,40.98,40.37,40.68,40.58,40.29,4926400,"15,549",-0.61,Negative,-0.8,Negative,-1.85,Negative
12/12/2012,DFS,Riverwoods,41.22,40.36,40.62,41,40.69,40.31,40.33,3962400,"15,549",0.38,Positive,-0.09,Negative,-1.33,Negative
13/12/2012,DFS,Riverwoods,41,40.09,41,40.38,39.96,40.03,40.08,3242600,"15,549",-0.62,Negative,-1.23,Negative,-2.45,Negative
14/12/2012,DFS,Riverwoods,40.38,39.4,40.28,39.54,39.86,40.08,39.69,5091000,"15,549",-0.74,Negative,-1.87,Negative,-1.39,Negative
17/12/2012,DFS,Riverwoods,40.76,39.65,39.65,40.18,40.35,40.16,39.48,6641500,"15,549",0.53,Positive,-1.15,Negative,-0.84,Negative
18/12/2012,DFS,Riverwoods,40.88,39.6,40.8,40.53,40.15,39.57,39.14,8984300,"15,549",-0.27,Negative,-2.29,Negative,-1.66,Negative
