Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0,Net Change  0 (Nominal),Net Change 5 (Numeric),Net Change  5 (Nominal),Net Change 25 (Numeric),Net Change  25 (Nominal)
30/11/2012,FITB,Cincinnati,14.77,14.56,14.7,14.64,14.53,14.64,14.38,7091300,"17,744",-0.06,Negative,-0.36,Negative,0.88,Positive
3/12/2012,FITB,Cincinnati,14.69,14.34,14.69,14.41,14.28,14.41,14.36,11941400,"17,744",-0.28,Negative,-0.15,Negative,0.75,Positive
4/12/2012,FITB,Cincinnati,14.45,14.05,14.44,14.14,14.25,14.14,14.39,13866500,"17,744",-0.3,Negative,0.12,Positive,0.97,Positive
5/12/2012,FITB,Cincinnati,14.43,14.1,14.19,14.36,14.35,14.36,14.47,12657200,"17,744",0.17,Positive,0.34,Positive,1.51,Positive
6/12/2012,FITB,Cincinnati,14.39,14.25,14.39,14.34,14.44,14.34,14.52,7240100,"17,744",-0.05,Negative,0.23,Positive,1.08,Positive
7/12/2012,FITB,Cincinnati,14.54,14.35,14.4,14.54,14.55,14.54,14.55,7592500,"17,744",0.14,Positive,0.11,Positive,0.95,Positive
10/12/2012,FITB,Cincinnati,14.68,14.47,14.52,14.56,14.55,14.56,14.52,8968400,"17,744",0.04,Positive,-0.16,Negative,0.89,Positive
11/12/2012,FITB,Cincinnati,14.7,14.46,14.58,14.53,14.58,14.53,14.54,7234400,"17,744",-0.05,Negative,0.09,Positive,0.97,Positive
12/12/2012,FITB,Cincinnati,14.76,14.54,14.56,14.62,14.57,14.62,14.65,9424000,"17,744",0.06,Positive,0.52,Positive,1.73,Positive
13/12/2012,FITB,Cincinnati,14.77,14.44,14.77,14.51,14.44,14.51,14.71,9131400,"17,744",-0.26,Negative,0.18,Positive,1.61,Positive
14/12/2012,FITB,Cincinnati,14.52,14.33,14.5,14.36,14.52,14.36,14.84,5985000,"17,744",-0.14,Negative,0.64,Positive,2,Positive
17/12/2012,FITB,Cincinnati,14.7,14.42,14.43,14.67,14.88,14.67,14.99,9203000,"17,744",0.24,Positive,0.69,Positive,1.94,Positive
18/12/2012,FITB,Cincinnati,15.12,14.67,14.74,15.08,15.02,15.08,15.07,13977300,"17,744",0.34,Positive,0.3,Positive,1.65,Positive
19/12/2012,FITB,Cincinnati,15.18,14.91,15.15,14.95,15.05,14.95,15.08,7673900,"17,744",-0.2,Negative,-0.01,Negative,1.22,Positive
20/12/2012,FITB,Cincinnati,15.17,14.93,14.94,15.14,15.13,15.14,15.1,8822400,"17,744",0.2,Positive,0.14,Positive,1.24,Positive
21/12/2012,FITB,Cincinnati,15.18,14.75,14.95,15.12,15.08,15.12,15.07,14283000,"17,744",0.17,Positive,0.04,Positive,1.32,Positive
24/12/2012,FITB,Cincinnati,15.2,14.97,15.12,15.04,15.09,15.04,15.09,3255700,"17,744",-0.08,Negative,0.08,Positive,1.21,Positive
26/12/2012,FITB,Cincinnati,15.31,15,15.07,15.14,15.11,15.14,15.24,6981100,"17,744",0.07,Positive,0.7,Positive,1.22,Positive
27/12/2012,FITB,Cincinnati,15.13,14.93,15.03,15.08,15.04,15.08,15.33,12407400,"17,744",0.05,Positive,0.6,Positive,1.46,Positive
28/12/2012,FITB,Cincinnati,15.13,14.93,14.97,14.99,15.1,14.99,15.46,7252900,"17,744",0.02,Positive,0.72,Positive,1.23,Positive
31/12/2012,FITB,Cincinnati,15.21,14.91,14.92,15.2,15.49,15.2,15.57,8068600,"17,744",0.28,Positive,0.66,Positive,1.59,Positive
2/1/2013,FITB,Cincinnati,15.77,15.43,15.46,15.77,15.7,15.77,15.62,13866300,"17,744",0.31,Positive,-0.02,Negative,1.13,Positive
3/1/2013,FITB,Cincinnati,15.77,15.52,15.76,15.63,15.66,15.63,15.55,11670500,"17,744",-0.13,Negative,-0.35,Negative,0.71,Positive
4/1/2013,FITB,Cincinnati,15.7,15.48,15.51,15.69,15.64,15.69,15.56,14800100,"17,744",0.18,Positive,0.19,Positive,1.1,Positive
7/1/2013,FITB,Cincinnati,15.66,15.44,15.62,15.58,15.51,15.58,15.52,10651000,"17,744",-0.04,Negative,-0.15,Negative,0.88,Positive
8/1/2013,FITB,Cincinnati,15.65,15.4,15.63,15.44,15.43,15.44,15.47,10703400,"17,744",-0.19,Negative,-0.28,Negative,0.93,Positive
9/1/2013,FITB,Cincinnati,15.59,15.36,15.49,15.41,15.56,15.41,15.47,9882600,"17,744",-0.08,Negative,-0.08,Negative,0.62,Positive
10/1/2013,FITB,Cincinnati,15.72,15.46,15.52,15.7,15.59,15.7,15.5,11495700,"17,744",0.18,Positive,0.03,Positive,0.61,Positive
11/1/2013,FITB,Cincinnati,15.69,15.35,15.69,15.47,15.41,15.47,15.61,10867300,"17,744",-0.22,Negative,0.6,Positive,0.36,Positive
14/01/2013,FITB,Cincinnati,15.5,15.28,15.49,15.35,15.38,15.35,15.8,7942100,"17,744",-0.14,Negative,0.89,Positive,0.47,Positive
15/01/2013,FITB,Cincinnati,15.48,15.19,15.25,15.41,15.48,15.41,16.03,7682300,"17,744",0.16,Positive,1.25,Positive,0.58,Positive
16/01/2013,FITB,Cincinnati,15.76,15.35,15.4,15.55,15.92,15.55,16.22,14767200,"17,744",0.15,Positive,0.97,Positive,0.2,Positive
17/01/2013,FITB,Cincinnati,16.39,15.89,15.98,16.29,16.34,16.29,16.39,25139000,"17,744",0.31,Positive,0.41,Positive,-0.18,Negative
18/01/2013,FITB,Cincinnati,16.63,16.34,16.44,16.38,16.44,16.38,16.4,17729900,"17,744",-0.06,Negative,-0.07,Negative,-0.91,Negative
22/01/2013,FITB,Cincinnati,16.52,16.26,16.3,16.5,16.44,16.5,16.36,8941800,"17,744",0.2,Positive,-0.12,Negative,-0.74,Negative
23/01/2013,FITB,Cincinnati,16.56,16.31,16.46,16.37,16.38,16.37,16.32,8203900,"17,744",-0.09,Negative,-0.19,Negative,-0.74,Negative
24/01/2013,FITB,Cincinnati,16.5,16.27,16.43,16.39,16.38,16.39,16.31,7786200,"17,744",-0.04,Negative,-0.1,Negative,-0.59,Negative
25/01/2013,FITB,Cincinnati,16.46,16.26,16.42,16.37,16.28,16.37,16.29,5722600,"17,744",-0.05,Negative,-0.13,Negative,-0.59,Negative
28/01/2013,FITB,Cincinnati,16.41,16.08,16.34,16.18,16.23,16.18,16.31,8723400,"17,744",-0.16,Negative,0.15,Positive,-0.32,Negative
29/01/2013,FITB,Cincinnati,16.39,16.11,16.34,16.27,16.3,16.27,16.32,8274200,"17,744",-0.07,Negative,-0.14,Negative,-0.32,Negative
30/01/2013,FITB,Cincinnati,16.39,16.17,16.28,16.33,16.31,16.33,16.36,11003200,"17,744",0.05,Positive,0.23,Positive,-0.25,Negative
31/01/2013,FITB,Cincinnati,16.35,16.18,16.3,16.29,16.39,16.29,16.42,8396800,"17,744",-0.01,Negative,0.29,Positive,-0.07,Negative
1/2/2013,FITB,Cincinnati,16.63,16.35,16.36,16.49,16.35,16.49,16.45,12703800,"17,744",0.13,Positive,0.11,Positive,-0.02,Negative
4/2/2013,FITB,Cincinnati,16.34,16.16,16.3,16.2,16.36,16.2,16.48,11778200,"17,744",-0.1,Negative,0.31,Positive,0.05,Positive
5/2/2013,FITB,Cincinnati,16.58,16.28,16.34,16.51,16.55,16.51,16.54,9336600,"17,744",0.17,Positive,0.16,Positive,-0.09,Negative
6/2/2013,FITB,Cincinnati,16.61,16.37,16.45,16.59,16.53,16.59,16.55,5938900,"17,744",0.14,Positive,0.11,Positive,-0.06,Negative
7/2/2013,FITB,Cincinnati,16.77,16.36,16.64,16.47,16.54,16.47,16.45,10888100,"17,744",-0.17,Negative,-0.53,Negative,-0.27,Negative
8/2/2013,FITB,Cincinnati,16.61,16.4,16.55,16.61,16.56,16.61,16.38,9814100,"17,744",0.06,Positive,-0.42,Negative,0.06,Positive
11/2/2013,FITB,Cincinnati,16.52,16.38,16.44,16.5,16.53,16.5,16.27,12187700,"17,744",0.06,Positive,-0.39,Negative,0.04,Positive
12/2/2013,FITB,Cincinnati,16.63,16.45,16.54,16.56,16.34,16.56,16.16,8284800,"17,744",0.02,Positive,-0.58,Negative,-0.03,Negative
13/02/2013,FITB,Cincinnati,16.55,16.05,16.53,16.11,16.12,16.11,16.02,16635700,"17,744",-0.42,Negative,-0.7,Negative,-0.01,Negative
14/02/2013,FITB,Cincinnati,16.19,16.04,16.09,16.13,16.09,16.13,15.91,11091200,"17,744",0.04,Positive,-0.49,Negative,0.28,Positive
15/02/2013,FITB,Cincinnati,16.16,16,16.12,16.05,16,16.05,15.85,9472000,"17,744",-0.07,Negative,-0.32,Negative,0.17,Positive
19/02/2013,FITB,Cincinnati,16.16,15.94,16.07,15.96,15.9,15.96,15.74,11020500,"17,744",-0.11,Negative,-0.54,Negative,0.28,Positive
20/02/2013,FITB,Cincinnati,16.03,15.79,15.95,15.83,15.72,15.83,15.66,12260600,"17,744",-0.12,Negative,-0.39,Negative,0.46,Positive
21/02/2013,FITB,Cincinnati,15.97,15.51,15.85,15.6,15.7,15.6,15.64,17670900,"17,744",-0.25,Negative,-0.13,Negative,0.52,Positive
22/02/2013,FITB,Cincinnati,15.84,15.7,15.77,15.8,15.67,15.8,15.69,6752300,"17,744",0.03,Positive,0.07,Positive,0.54,Positive
25/02/2013,FITB,Cincinnati,15.94,15.52,15.9,15.53,15.55,15.53,15.7,12966000,"17,744",-0.37,Negative,-0.07,Negative,0.24,Positive
26/02/2013,FITB,Cincinnati,15.64,15.43,15.6,15.56,15.64,15.56,15.79,10616400,"17,744",-0.04,Negative,0.42,Positive,0.56,Positive
27/02/2013,FITB,Cincinnati,15.76,15.47,15.56,15.72,15.78,15.72,15.89,8481500,"17,744",0.16,Positive,0.46,Positive,0.43,Positive
28/02/2013,FITB,Cincinnati,15.93,15.67,15.68,15.84,15.84,15.84,15.95,8898900,"17,744",0.16,Positive,0.35,Positive,0.27,Positive
1/3/2013,FITB,Cincinnati,15.9,15.57,15.73,15.83,15.93,15.83,16.03,11481200,"17,744",0.1,Positive,0.5,Positive,0.29,Positive
4/3/2013,FITB,Cincinnati,16.04,15.71,15.83,16.02,16.02,16.02,16.13,8629000,"17,744",0.19,Positive,0.51,Positive,0.39,Positive
5/3/2013,FITB,Cincinnati,16.19,15.88,16.15,16.02,16.03,16.02,16.19,15272900,"17,744",-0.13,Negative,0.2,Positive,0.24,Positive
6/3/2013,FITB,Cincinnati,16.12,15.88,16.06,16.03,16.13,16.03,16.24,11432600,"17,744",-0.03,Negative,0.19,Positive,0.57,Positive
7/3/2013,FITB,Cincinnati,16.25,16.01,16.05,16.23,16.29,16.23,16.31,8861600,"17,744",0.18,Positive,0.34,Positive,0.81,Positive
8/3/2013,FITB,Cincinnati,16.37,16.18,16.35,16.34,16.35,16.34,16.34,8404200,"17,744",-0.01,Negative,0.02,Positive,0.14,Positive
11/3/2013,FITB,Cincinnati,16.42,16.24,16.37,16.35,16.3,16.35,16.39,10537300,"17,744",-0.02,Negative,0.24,Positive,-0.29,Negative
12/3/2013,FITB,Cincinnati,16.46,16.23,16.38,16.25,16.32,16.25,16.42,6625700,"17,744",-0.13,Negative,0.1,Positive,-0.23,Negative
13/03/2013,FITB,Cincinnati,16.39,16.18,16.24,16.39,16.38,16.39,16.47,8843800,"17,744",0.15,Positive,0.27,Positive,-0.44,Negative
14/03/2013,FITB,Cincinnati,16.55,16.3,16.44,16.37,16.49,16.37,16.5,8663400,"17,744",-0.07,Negative,0.08,Positive,-0.52,Negative
15/03/2013,FITB,Cincinnati,16.61,16.3,16.35,16.61,16.55,16.61,16.5,16194500,"17,744",0.26,Positive,0.02,Positive,0.05,Positive
18/03/2013,FITB,Cincinnati,16.54,16.27,16.37,16.48,16.5,16.48,16.43,7536400,"17,744",0.11,Positive,-0.08,Negative,-0.12,Negative
19/03/2013,FITB,Cincinnati,16.58,16.41,16.56,16.51,16.52,16.51,16.41,8466000,"17,744",-0.05,Negative,-0.21,Negative,-0.09,Negative
20/03/2013,FITB,Cincinnati,16.62,16.48,16.61,16.52,16.45,16.52,16.39,7800400,"17,744",-0.09,Negative,-0.2,Negative,0.11,Positive
21/03/2013,FITB,Cincinnati,16.52,16.35,16.4,16.37,16.33,16.37,16.36,8305100,"17,744",-0.03,Negative,-0.03,Negative,0.43,Positive
22/03/2013,FITB,Cincinnati,16.45,16.23,16.37,16.29,16.32,16.29,16.35,7034400,"17,744",-0.08,Negative,-0.06,Negative,0.39,Positive
25/03/2013,FITB,Cincinnati,16.39,16.22,16.31,16.35,16.38,16.35,16.32,8041100,"17,744",0.04,Positive,-0.17,Negative,0.52,Positive
26/03/2013,FITB,Cincinnati,16.45,16.29,16.36,16.41,16.39,16.41,16.28,6967600,"17,744",0.05,Positive,-0.2,Negative,0.67,Positive
27/03/2013,FITB,Cincinnati,16.4,16.25,16.34,16.37,16.34,16.37,16.19,4895200,"17,744",0.03,Positive,-0.35,Negative,0.41,Positive
28/03/2013,FITB,Cincinnati,16.37,16.2,16.31,16.31,16.22,16.31,16.11,5584400,"17,744",0,Equal,-0.36,Negative,0.55,Positive
1/4/2013,FITB,Cincinnati,16.3,16.06,16.28,16.14,16.15,16.14,16.05,5702700,"17,744",-0.14,Negative,-0.26,Negative,0.82,Positive
2/4/2013,FITB,Cincinnati,16.22,16.08,16.14,16.16,16.08,16.16,16.07,6808400,"17,744",0.02,Positive,0.08,Positive,1.16,Positive
3/4/2013,FITB,Cincinnati,16.23,15.82,16.13,15.99,15.97,15.99,16.11,13451600,"17,744",-0.14,Negative,0.26,Positive,1.38,Positive
4/4/2013,FITB,Cincinnati,16.04,15.85,15.99,15.95,15.99,15.95,16.24,8668800,"17,744",-0.04,Negative,0.64,Positive,1.63,Positive
5/4/2013,FITB,Cincinnati,16.06,15.64,15.73,16.02,16.12,16.02,16.42,10322800,"17,744",0.29,Positive,1.13,Positive,1.84,Positive
8/4/2013,FITB,Cincinnati,16.26,15.89,15.99,16.22,16.3,16.22,16.52,10211700,"17,744",0.23,Positive,0.5,Positive,1.72,Positive
9/4/2013,FITB,Cincinnati,16.49,16.2,16.3,16.39,16.51,16.39,16.49,8064300,"17,744",0.09,Positive,-0.22,Negative,1.4,Positive
10/4/2013,FITB,Cincinnati,16.68,16.46,16.57,16.63,16.75,16.63,16.44,9086900,"17,744",0.06,Positive,-0.42,Negative,1.34,Positive
11/4/2013,FITB,Cincinnati,16.86,16.53,16.62,16.86,16.68,16.86,16.28,9786800,"17,744",0.24,Positive,-0.82,Negative,1.46,Positive
12/4/2013,FITB,Cincinnati,16.74,16.35,16.69,16.49,16.29,16.49,16.09,16086400,"17,744",-0.2,Negative,-0.77,Negative,1.33,Positive
15/04/2013,FITB,Cincinnati,16.49,16.06,16.47,16.08,16.12,16.08,16.07,10054600,"17,744",-0.39,Negative,-0.07,Negative,1.78,Positive
16/04/2013,FITB,Cincinnati,16.27,16.06,16.16,16.15,15.98,16.15,16.1,9928500,"17,744",-0.01,Negative,0.09,Positive,2.23,Positive
17/04/2013,FITB,Cincinnati,15.98,15.64,15.97,15.8,15.86,15.8,16.17,11215000,"17,744",-0.17,Negative,0.5,Positive,2.33,Positive
18/04/2013,FITB,Cincinnati,16.25,15.62,16.25,15.92,16.16,15.92,16.35,16586100,"17,744",-0.33,Negative,0.47,Positive,1.75,Positive
19/04/2013,FITB,Cincinnati,16.42,15.89,16.03,16.4,16.33,16.4,16.53,11483200,"17,744",0.37,Positive,0.8,Positive,2.07,Positive
22/04/2013,FITB,Cincinnati,16.34,16.11,16.31,16.25,16.36,16.25,16.61,6563600,"17,744",-0.06,Negative,0.45,Positive,1.94,Positive
23/04/2013,FITB,Cincinnati,16.5,16.22,16.31,16.47,16.59,16.47,16.72,8093500,"17,744",0.16,Positive,0.52,Positive,2.12,Positive
24/04/2013,FITB,Cincinnati,16.72,16.45,16.48,16.72,16.77,16.72,16.83,6444900,"17,744",0.24,Positive,0.55,Positive,1.99,Positive
25/04/2013,FITB,Cincinnati,16.95,16.69,16.75,16.83,16.8,16.83,16.84,5791500,"17,744",0.08,Positive,0,Equal,1.78,Positive
26/04/2013,FITB,Cincinnati,16.85,16.65,16.81,16.76,16.8,16.76,16.85,3342700,"17,744",-0.05,Negative,0.05,Positive,1.39,Positive
29/04/2013,FITB,Cincinnati,16.89,16.76,16.77,16.83,16.93,16.83,16.91,4412600,"17,744",0.06,Positive,0.33,Positive,1.43,Positive
30/04/2013,FITB,Cincinnati,17.04,16.68,16.84,17.03,16.89,17.03,17.01,9295500,"17,744",0.19,Positive,0.46,Positive,1.08,Positive
1/5/2013,FITB,Cincinnati,17.11,16.7,17.03,16.75,16.81,16.75,17.1,7515000,"17,744",-0.28,Negative,0.48,Positive,0.68,Positive
2/5/2013,FITB,Cincinnati,16.97,16.71,16.77,16.86,16.98,16.86,17.28,4457000,"17,744",0.09,Positive,0.85,Positive,1.3,Positive
3/5/2013,FITB,Cincinnati,17.12,17.01,17.05,17.1,17.2,17.1,17.42,6916000,"17,744",0.05,Positive,0.52,Positive,1.37,Positive
