Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Day,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,GS,New York,119.44,117.69,117.96,117.79,118.1,117.59,117.42,4264300,"34,400",-0.17,Negative,-0.76,Negative,16.3,Positive
3/12/2012,GS,New York,119.64,118.07,118.42,118.4,117.49,117.37,117.18,3613900,"34,400",-0.02,Negative,-1.85,Negative,14.63,Positive
4/12/2012,GS,New York,118.39,116.2,118.12,116.58,116.85,116.97,116.9,3591600,"34,400",-1.54,Negative,-1.11,Negative,16.2,Positive
5/12/2012,GS,New York,117.9,116,117.02,117.13,117.16,116.97,117.35,3283000,"34,400",0.11,Positive,1.84,Positive,20.35,Positive
6/12/2012,GS,New York,117.48,116.2,117.22,117.2,116.88,116.93,117.55,2330900,"34,400",-0.02,Negative,0.87,Positive,19.91,Positive
7/12/2012,GS,New York,118,116.14,117.77,116.57,116.79,117.48,117.81,3960500,"34,400",-1.2,Negative,0.73,Positive,18.36,Positive
10/12/2012,GS,New York,117.17,115.62,116.61,117.01,117.94,117.99,118.36,3331900,"34,400",0.4,Positive,2.75,Positive,18.98,Positive
11/12/2012,GS,New York,119.8,117.04,117.56,118.86,118.47,118.48,119.66,5696500,"34,400",1.3,Positive,5.93,Positive,23.53,Positive
12/12/2012,GS,New York,119.98,118.08,119.29,118.09,118.29,118.65,121.44,5372400,"34,400",-1.2,Negative,8.48,Positive,21.72,Positive
13/12/2012,GS,New York,119.16,117.59,117.81,118.5,118.93,120.45,123.27,3329100,"34,400",0.69,Positive,9.44,Positive,26.64,Positive
14/12/2012,GS,New York,120.07,118.3,118.45,119.36,121.42,123.54,125.52,3717200,"34,400",0.91,Positive,11.27,Positive,27.5,Positive
17/12/2012,GS,New York,123.49,120.03,120.19,123.49,125.63,126.17,127.33,5476700,"34,400",3.3,Positive,8.25,Positive,25.37,Positive
18/12/2012,GS,New York,128,124.49,124.82,127.77,127.51,128.25,128.14,8040300,"34,400",2.95,Positive,2.72,Positive,20.14,Positive
19/12/2012,GS,New York,129.3,126.81,128.67,127.25,128.49,128.47,128.02,5525400,"34,400",-1.42,Negative,-1.51,Negative,15.79,Positive
20/12/2012,GS,New York,129.72,126.62,127.35,129.72,129.08,128.57,127.91,4402500,"34,400",2.37,Positive,-0.68,Negative,16.8,Positive
21/12/2012,GS,New York,128.95,125.63,126.63,128.44,127.99,127.71,127.07,6393300,"34,400",1.81,Positive,-1.11,Negative,20.47,Positive
24/12/2012,GS,New York,128.5,127.4,127.87,127.54,127.35,127.12,126.89,1359300,"34,400",-0.33,Negative,-0.31,Negative,19.28,Positive
26/12/2012,GS,New York,129.3,127.11,128.16,127.16,126.92,126.45,127.71,2210100,"34,400",-1,Negative,3.5,Positive,19.7,Positive
27/12/2012,GS,New York,128.3,124.57,127.55,126.67,126.09,126.58,128.47,3263500,"34,400",-0.88,Negative,3.39,Positive,22.35,Positive
28/12/2012,GS,New York,126.62,125.34,125.73,125.52,126.54,128.25,130.04,1859200,"34,400",-0.21,Negative,8.78,Positive,21.79,Positive
31/12/2012,GS,New York,127.68,124.79,125.42,127.56,129.61,130.05,131.79,3623000,"34,400",2.14,Positive,8.84,Positive,25.03,Positive
2/1/2013,GS,New York,131.66,129.62,131.3,131.66,131.3,132.37,132.88,4449000,"34,400",0.36,Positive,1.75,Positive,19.82,Positive
3/1/2013,GS,New York,131.78,130.07,131.7,130.94,132.72,133.24,133.42,4584600,"34,400",-0.76,Negative,2.62,Positive,18.56,Positive
4/1/2013,GS,New York,134.64,130.32,130.93,134.51,134.38,133.94,134.7,5234600,"34,400",3.58,Positive,6.44,Positive,20.67,Positive
7/1/2013,GS,New York,134.51,132.88,134.12,134.26,133.65,133.88,135.23,3556900,"34,400",0.14,Positive,3.01,Positive,18.12,Positive
8/1/2013,GS,New York,133.95,132.7,133.71,133.05,133.69,134.91,135.6,2760200,"34,400",-0.66,Negative,2.42,Positive,20.4,Positive
