Date,Financial Institution,Location,High,Low,Open ,Close,Class Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,JPM,New York,41.34,40.85,40.99,41.08,40.95,40.82,41.08,20066600,"251,503",0.09,Positive,0.48,Positive,4.42,Positive
3/12/2012,JPM,New York,41.37,40.75,41.27,40.81,40.69,40.86,40.81,18955500,"251,503",-0.46,Negative,1.29,Positive,4.23,Positive
4/12/2012,JPM,New York,40.92,40.2,40.78,40.57,40.89,41.08,40.57,24031100,"251,503",-0.21,Negative,1.53,Positive,4.69,Positive
5/12/2012,JPM,New York,41.49,40.5,40.69,41.2,41.34,41.74,41.2,25515600,"251,503",0.51,Positive,1.95,Positive,5.46,Positive
6/12/2012,JPM,New York,41.55,41.11,41.25,41.47,42.02,42.11,41.47,20541700,"251,503",0.22,Positive,1.52,Positive,4.89,Positive
7/12/2012,JPM,New York,42.57,41.73,41.84,42.56,42.44,42.5,42.56,34552900,"251,503",0.72,Positive,0.94,Positive,4.04,Positive
10/12/2012,JPM,New York,42.67,42.01,42.54,42.31,42.48,42.57,42.31,22394500,"251,503",-0.23,Negative,0.27,Positive,3.81,Positive
11/12/2012,JPM,New York,43.09,42.42,42.6,42.64,42.7,42.73,42.64,21955000,"251,503",0.04,Positive,0.88,Positive,4.22,Positive
12/12/2012,JPM,New York,43.38,42.7,43,42.77,42.77,42.79,42.77,23110600,"251,503",-0.23,Negative,0.87,Positive,3.44,Positive
13/12/2012,JPM,New York,42.92,42.5,42.65,42.78,42.8,43.02,42.78,18457000,"251,503",0.13,Positive,0.88,Positive,3.81,Positive
14/12/2012,JPM,New York,43.11,42.71,42.77,42.81,43.15,43.39,42.81,16208600,"251,503",0.04,Positive,1.76,Positive,3.77,Positive
17/12/2012,JPM,New York,43.51,42.81,43,43.48,43.67,43.63,43.48,23879800,"251,503",0.48,Positive,1,Positive,3.23,Positive
18/12/2012,JPM,New York,43.94,43.31,43.83,43.87,43.7,43.98,43.87,33858600,"251,503",0.04,Positive,0.09,Positive,2.54,Positive
19/12/2012,JPM,New York,44.39,43.42,43.99,43.53,44.03,44.02,43.53,34348500,"251,503",-0.46,Negative,-0.03,Negative,3.17,Positive
20/12/2012,JPM,New York,44.54,43.41,43.69,44.53,44.26,44.15,44.53,25014900,"251,503",0.84,Positive,-0.06,Negative,2.95,Positive
21/12/2012,JPM,New York,44.2,43.34,43.82,44,43.96,43.96,44,38973500,"251,503",0.18,Positive,-0.58,Negative,3.3,Positive
24/12/2012,JPM,New York,44.02,43.71,43.72,43.92,43.94,43.84,43.92,8621200,"251,503",0.2,Positive,0.25,Positive,3.41,Positive
26/12/2012,JPM,New York,44.18,43.72,43.95,43.96,43.8,43.61,43.96,11498900,"251,503",0.01,Positive,0.71,Positive,3.1,Positive
27/12/2012,JPM,New York,44.02,42.9,43.96,43.63,43.44,43.61,43.63,19567000,"251,503",-0.33,Negative,0.61,Positive,3.89,Positive
28/12/2012,JPM,New York,43.69,43.09,43.1,43.24,43.61,43.96,43.24,15401200,"251,503",0.14,Positive,2.26,Positive,4.58,Positive
31/12/2012,JPM,New York,44,43.05,43.1,43.97,44.32,44.4,43.97,24209600,"251,503",0.87,Positive,2.31,Positive,5.69,Positive
2/1/2013,JPM,New York,45,44.22,44.98,44.66,44.62,44.86,44.66,31413000,"251,503",-0.32,Negative,0.52,Positive,3.63,Positive
3/1/2013,JPM,New York,44.75,44.2,44.74,44.57,44.97,45.11,44.57,24227700,"251,503",-0.17,Negative,0.73,Positive,3.49,Positive
4/1/2013,JPM,New York,45.43,44.44,44.45,45.36,45.39,45.42,45.36,24487700,"251,503",0.91,Positive,1.7,Positive,4.18,Positive
7/1/2013,JPM,New York,45.49,45.02,45.09,45.41,45.46,45.46,45.41,24456900,"251,503",0.32,Positive,1.05,Positive,3.57,Positive
8/1/2013,JPM,New York,45.5,44.96,45.4,45.5,45.49,45.71,45.5,19624200,"251,503",0.1,Positive,0.48,Positive,3.74,Positive
9/1/2013,JPM,New York,46.2,45.14,45.56,45.47,45.81,45.92,45.47,25920600,"251,503",-0.09,Negative,0.79,Positive,3.12,Positive
10/1/2013,JPM,New York,46.16,45.53,45.89,46.15,46.15,46.06,46.15,23413600,"251,503",0.26,Positive,0.93,Positive,3.33,Positive
11/1/2013,JPM,New York,46.15,45.47,45.97,46.14,46.01,46.12,46.14,19723900,"251,503",0.17,Positive,0.47,Positive,2.91,Positive
14/01/2013,JPM,New York,46.18,45.48,45.89,45.88,46.11,46.35,45.88,19079500,"251,503",-0.01,Negative,0.57,Positive,3.56,Positive
15/01/2013,JPM,New York,46.47,45.35,45.49,46.35,46.58,46.54,46.35,29898000,"251,503",0.86,Positive,1.05,Positive,3.12,Positive
16/01/2013,JPM,New York,46.83,45.57,45.91,46.82,46.63,46.57,46.82,43453600,"251,503",0.91,Positive,0.32,Positive,2.34,Positive
17/01/2013,JPM,New York,46.87,46.29,46.4,46.44,46.45,46.48,46.44,41086800,"251,503",0.04,Positive,-0.03,Negative,2.51,Positive
18/01/2013,JPM,New York,46.6,46.18,46.38,46.46,46.5,46.41,46.46,28679100,"251,503",0.08,Positive,0.78,Positive,1.32,Positive
22/01/2013,JPM,New York,46.55,46.13,46.25,46.54,46.39,46.38,46.54,24257300,"251,503",0.29,Positive,0.39,Positive,1.35,Positive
23/01/2013,JPM,New York,46.44,45.92,46.23,46.23,46.3,46.59,46.23,19105100,"251,503",0,Equal,0.89,Positive,3.05,Positive
24/01/2013,JPM,New York,46.8,46.08,46.24,46.37,46.76,46.72,46.37,20008200,"251,503",0.13,Positive,0.89,Positive,2.68,Positive
25/01/2013,JPM,New York,47.16,46.61,46.74,47.16,46.9,46.97,47.16,26009100,"251,503",0.42,Positive,0.31,Positive,2.17,Positive
28/01/2013,JPM,New York,47,46.48,46.84,46.64,46.88,46.96,46.64,19706800,"251,503",-0.2,Negative,1.01,Positive,2.26,Positive
29/01/2013,JPM,New York,47.16,46.25,46.28,47.12,47.13,47.1,47.12,19907400,"251,503",0.84,Positive,1.4,Positive,3.21,Positive
30/01/2013,JPM,New York,47.35,46.96,47.04,47.13,47.09,47.34,47.13,18631300,"251,503",0.09,Positive,1.75,Positive,2.99,Positive
31/01/2013,JPM,New York,47.22,46.88,47.01,47.05,47.45,47.53,47.05,19536000,"251,503",0.04,Positive,1.6,Positive,3.62,Positive
1/2/2013,JPM,New York,48,47.21,47.4,47.85,47.76,48.11,47.85,24520000,"251,503",0.45,Positive,0.83,Positive,2.8,Positive
4/2/2013,JPM,New York,47.81,47.38,47.54,47.68,48.24,48.36,47.68,20822600,"251,503",0.14,Positive,1.09,Positive,2.94,Positive
5/2/2013,JPM,New York,48.8,47.93,47.94,48.79,48.7,48.54,48.79,28067500,"251,503",0.85,Positive,0.72,Positive,2.34,Positive
6/2/2013,JPM,New York,48.83,48.32,48.42,48.61,48.42,48.49,48.61,28282600,"251,503",0.19,Positive,0.72,Positive,1.74,Positive
7/2/2013,JPM,New York,48.75,47.9,48.65,48.23,48.43,48.51,48.23,21429600,"251,503",-0.42,Negative,0.03,Positive,2.35,Positive
8/2/2013,JPM,New York,48.69,48.26,48.33,48.63,48.65,48.81,48.63,15218300,"251,503",0.3,Positive,0.89,Positive,1.69,Positive
11/2/2013,JPM,New York,48.9,48.38,48.51,48.66,48.9,48.83,48.66,13935900,"251,503",0.15,Positive,0.37,Positive,1,Positive
12/2/2013,JPM,New York,49.31,48.6,48.8,49.14,48.91,49.01,49.14,16388000,"251,503",0.34,Positive,0.65,Positive,0.4,Positive
13/02/2013,JPM,New York,49.45,48.5,49.35,48.68,48.95,48.93,48.68,21635600,"251,503",-0.67,Negative,-0.74,Negative,-0.23,Negative
14/02/2013,JPM,New York,49.29,48.37,48.4,49.22,49.05,49.18,49.22,18017800,"251,503",0.82,Positive,-0.15,Negative,-0.05,Negative
15/02/2013,JPM,New York,49.46,48.57,49.35,48.88,49.17,48.98,48.88,20016200,"251,503",-0.47,Negative,-0.44,Negative,-0.57,Negative
19/02/2013,JPM,New York,49.68,49.12,49.12,49.45,49.03,48.77,49.45,20445900,"251,503",0.33,Positive,-1.42,Negative,-0.6,Negative
20/02/2013,JPM,New York,49.54,48.36,49.35,48.61,48.43,48.59,48.61,24786700,"251,503",-0.74,Negative,-1.75,Negative,-0.71,Negative
21/02/2013,JPM,New York,48.45,47.83,48.41,48.25,48.58,48.29,48.25,24437700,"251,503",-0.16,Negative,0.87,Positive,-0.64,Negative
22/02/2013,JPM,New York,48.91,48.41,48.63,48.91,48.31,48.07,48.91,23584100,"251,503",0.28,Positive,0.29,Positive,-1.17,Negative
25/02/2013,JPM,New York,49.2,47.65,49.1,47.7,47.65,48.19,47.7,32775500,"251,503",-1.4,Negative,-0.19,Negative,-1.27,Negative
