Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,KEY,Cleverland,8.16,8.03,8.14,8.08,8.04,7.99,7.96,13364400,"18,365",-0.06,Negative,-0.21,Negative,0.83,Positive
3/12/2012,KEY,Cleverland,8.16,7.98,8.15,7.99,7.95,7.94,7.97,17218500,"18,365",-0.16,Negative,-0.04,Negative,0.81,Positive
4/12/2012,KEY,Cleverland,8.04,7.81,8,7.9,7.91,7.92,8,17498200,"18,365",-0.1,Negative,0.15,Positive,0.9,Positive
5/12/2012,KEY,Cleverland,7.98,7.82,7.94,7.92,7.93,7.99,8.07,14298100,"18,365",-0.02,Negative,0.29,Positive,1,Positive
6/12/2012,KEY,Cleverland,7.96,7.86,7.9,7.93,8.02,8.06,8.12,17072600,"18,365",0.03,Positive,0.3,Positive,0.94,Positive
7/12/2012,KEY,Cleverland,8.12,7.93,7.95,8.11,8.13,8.16,8.17,13095000,"18,365",0.16,Positive,0.19,Positive,0.92,Positive
10/12/2012,KEY,Cleverland,8.19,8.03,8.06,8.15,8.19,8.19,8.17,13956600,"18,365",0.09,Positive,0.08,Positive,0.91,Positive
11/12/2012,KEY,Cleverland,8.26,8.18,8.19,8.23,8.22,8.19,8.22,10442400,"18,365",0.04,Positive,0.2,Positive,0.96,Positive
12/12/2012,KEY,Cleverland,8.38,8.15,8.26,8.2,8.17,8.16,8.28,22134400,"18,365",-0.06,Negative,0.27,Positive,1.08,Positive
13/12/2012,KEY,Cleverland,8.23,8.1,8.21,8.14,8.14,8.22,8.33,12977600,"18,365",-0.07,Negative,0.24,Positive,1.07,Positive
14/12/2012,KEY,Cleverland,8.18,8.11,8.15,8.14,8.27,8.35,8.41,6573600,"18,365",-0.01,Negative,0.41,Positive,1.21,Positive
17/12/2012,KEY,Cleverland,8.4,8.16,8.18,8.39,8.46,8.46,8.47,10725500,"18,365",0.21,Positive,0.26,Positive,1.12,Positive
18/12/2012,KEY,Cleverland,8.55,8.41,8.49,8.53,8.49,8.51,8.48,16314900,"18,365",0.04,Positive,-0.05,Negative,0.75,Positive
19/12/2012,KEY,Cleverland,8.57,8.45,8.56,8.45,8.51,8.48,8.47,8763100,"18,365",-0.11,Negative,-0.11,Negative,0.73,Positive
20/12/2012,KEY,Cleverland,8.56,8.45,8.45,8.56,8.5,8.48,8.46,8435700,"18,365",0.11,Positive,-0.03,Negative,0.75,Positive
21/12/2012,KEY,Cleverland,8.5,8.37,8.44,8.44,8.44,8.44,8.42,12458400,"18,365",0,Equal,-0.09,Negative,0.82,Positive
24/12/2012,KEY,Cleverland,8.48,8.39,8.48,8.44,8.45,8.44,8.42,2053300,"18,365",-0.04,Negative,-0.06,Negative,0.9,Positive
26/12/2012,KEY,Cleverland,8.52,8.41,8.45,8.45,8.44,8.41,8.48,5225300,"18,365",0,Equal,0.33,Positive,0.95,Positive
27/12/2012,KEY,Cleverland,8.51,8.27,8.47,8.42,8.39,8.4,8.56,7912200,"18,365",-0.05,Negative,0.37,Positive,1,Positive
28/12/2012,KEY,Cleverland,8.43,8.32,8.34,8.35,8.39,8.52,8.67,5320900,"18,365",0.01,Positive,0.61,Positive,1.03,Positive
31/12/2012,KEY,Cleverland,8.44,8.29,8.29,8.42,8.6,8.68,8.79,6170000,"18,365",0.13,Positive,0.68,Positive,1.2,Positive
2/1/2013,KEY,Cleverland,8.79,8.57,8.62,8.78,8.81,8.86,8.9,12731000,"18,365",0.16,Positive,0.34,Positive,0.91,Positive
3/1/2013,KEY,Cleverland,8.86,8.72,8.75,8.84,8.9,8.92,8.92,14056000,"18,365",0.09,Positive,0.15,Positive,0.75,Positive
4/1/2013,KEY,Cleverland,8.97,8.63,8.69,8.95,8.96,8.96,8.94,21197200,"18,365",0.26,Positive,0.25,Positive,0.88,Positive
7/1/2013,KEY,Cleverland,8.99,8.86,8.91,8.97,8.97,8.94,8.92,20213100,"18,365",0.06,Positive,-0.07,Negative,0.57,Positive
8/1/2013,KEY,Cleverland,9,8.9,9,8.96,8.93,8.93,8.9,36449200,"18,365",-0.04,Negative,-0.13,Negative,0.53,Positive
9/1/2013,KEY,Cleverland,9.1,8.85,9.03,8.9,8.92,8.89,8.9,23183500,"18,365",-0.13,Negative,-0.06,Negative,0.42,Positive
10/1/2013,KEY,Cleverland,8.98,8.87,8.94,8.94,8.89,8.88,8.95,19681300,"18,365",0,Equal,0.21,Positive,0.54,Positive
11/1/2013,KEY,Cleverland,8.94,8.78,8.92,8.84,8.86,8.89,9.03,13687000,"18,365",-0.08,Negative,0.42,Positive,0.56,Positive
14/01/2013,KEY,Cleverland,8.95,8.82,8.94,8.87,8.92,9,9.12,12311200,"18,365",-0.07,Negative,0.34,Positive,0.64,Positive
15/01/2013,KEY,Cleverland,8.99,8.82,8.85,8.97,9.06,9.15,9.22,12164600,"18,365",0.12,Positive,0.51,Positive,0.5,Positive
16/01/2013,KEY,Cleverland,9.15,8.95,8.98,9.15,9.25,9.26,9.29,17903400,"18,365",0.17,Positive,0.32,Positive,0.36,Positive
17/01/2013,KEY,Cleverland,9.36,9.13,9.15,9.34,9.31,9.33,9.3,28365100,"18,365",0.19,Positive,0.09,Positive,0.36,Positive
18/01/2013,KEY,Cleverland,9.4,9.23,9.39,9.28,9.32,9.31,9.29,20243400,"18,365",-0.11,Negative,-0.1,Negative,-0.15,Negative
22/01/2013,KEY,Cleverland,9.37,9.23,9.28,9.36,9.33,9.3,9.28,15889700,"18,365",0.08,Positive,-0.08,Negative,-0.04,Negative
23/01/2013,KEY,Cleverland,9.5,9.21,9.44,9.3,9.27,9.28,9.26,24965500,"18,365",-0.14,Negative,-0.18,Negative,-0.06,Negative
24/01/2013,KEY,Cleverland,9.33,8.99,9.04,9.24,9.27,9.24,9.27,45937200,"18,365",0.2,Positive,0.34,Positive,0.35,Positive
25/01/2013,KEY,Cleverland,9.3,9.14,9.26,9.29,9.25,9.25,9.31,16194800,"18,365",0.03,Positive,0.14,Positive,0.07,Positive
28/01/2013,KEY,Cleverland,9.27,9.16,9.27,9.2,9.23,9.28,9.34,8380600,"18,365",-0.07,Negative,0.2,Positive,0.22,Positive
29/01/2013,KEY,Cleverland,9.28,9.16,9.16,9.26,9.32,9.35,9.38,11519200,"18,365",0.1,Positive,0.21,Positive,0.36,Positive
30/01/2013,KEY,Cleverland,9.43,9.23,9.27,9.38,9.39,9.42,9.42,13746600,"18,365",0.11,Positive,0.22,Positive,0.39,Positive
31/01/2013,KEY,Cleverland,9.41,9.25,9.27,9.4,9.44,9.41,9.45,16540200,"18,365",0.13,Positive,0.26,Positive,0.65,Positive
1/2/2013,KEY,Cleverland,9.57,9.38,9.47,9.47,9.42,9.44,9.47,14309600,"18,365",0,Equal,0.03,Positive,0.39,Positive
4/2/2013,KEY,Cleverland,9.43,9.32,9.38,9.37,9.43,9.46,9.49,8851700,"18,365",-0.01,Negative,0.19,Positive,0.53,Positive
5/2/2013,KEY,Cleverland,9.55,9.38,9.41,9.49,9.51,9.51,9.51,14566500,"18,365",0.08,Positive,0.07,Positive,0.45,Positive
6/2/2013,KEY,Cleverland,9.55,9.38,9.4,9.53,9.52,9.53,9.52,9842500,"18,365",0.13,Positive,0.13,Positive,0.6,Positive
7/2/2013,KEY,Cleverland,9.56,9.44,9.53,9.5,9.54,9.52,9.51,7877600,"18,365",-0.03,Negative,-0.08,Negative,0.47,Positive
8/2/2013,KEY,Cleverland,9.6,9.48,9.5,9.57,9.53,9.53,9.5,7594400,"18,365",0.07,Positive,-0.02,Negative,0.61,Positive
11/2/2013,KEY,Cleverland,9.56,9.46,9.51,9.48,9.51,9.49,9.48,10758400,"18,365",-0.03,Negative,-0.03,Negative,0.6,Positive
12/2/2013,KEY,Cleverland,9.55,9.45,9.52,9.53,9.49,9.49,9.5,8900700,"18,365",0.01,Positive,0.06,Positive,0.55,Positive
13/02/2013,KEY,Cleverland,9.55,9.45,9.55,9.45,9.47,9.47,9.47,11420000,"18,365",-0.1,Negative,-0.2,Negative,0.6,Positive
14/02/2013,KEY,Cleverland,9.53,9.44,9.45,9.48,9.48,9.51,9.45,9224800,"18,365",0.03,Positive,-0.11,Negative,0.57,Positive
15/02/2013,KEY,Cleverland,9.56,9.39,9.53,9.48,9.53,9.47,9.45,9585900,"18,365",-0.05,Negative,-0.02,Negative,0.52,Positive
19/02/2013,KEY,Cleverland,9.64,9.47,9.5,9.58,9.47,9.42,9.4,11510500,"18,365",0.08,Positive,-0.26,Negative,0.47,Positive
20/02/2013,KEY,Cleverland,9.56,9.34,9.54,9.35,9.35,9.4,9.34,11414200,"18,365",-0.19,Negative,-0.3,Negative,0.55,Positive
21/02/2013,KEY,Cleverland,9.41,9.26,9.35,9.34,9.43,9.36,9.34,15916100,"18,365",-0.01,Negative,0.03,Positive,0.69,Positive
22/02/2013,KEY,Cleverland,9.52,9.39,9.4,9.51,9.38,9.33,9.35,8584700,"18,365",0.11,Positive,-0.01,Negative,0.56,Positive
25/02/2013,KEY,Cleverland,9.6,9.22,9.55,9.24,9.24,9.29,9.32,20192300,"18,365",-0.31,Negative,-0.22,Negative,0.27,Positive
26/02/2013,KEY,Cleverland,9.33,9.14,9.31,9.24,9.31,9.34,9.37,20370900,"18,365",-0.07,Negative,0.18,Positive,0.44,Positive
27/02/2013,KEY,Cleverland,9.39,9.23,9.24,9.38,9.39,9.37,9.42,12618000,"18,365",0.14,Positive,0.28,Positive,0.35,Positive
28/02/2013,KEY,Cleverland,9.48,9.3,9.39,9.39,9.36,9.4,9.48,11901200,"18,365",0,Equal,0.27,Positive,0.32,Positive
1/3/2013,KEY,Cleverland,9.4,9.2,9.26,9.33,9.41,9.45,9.58,10548200,"18,365",0.07,Positive,0.66,Positive,0.4,Positive
4/3/2013,KEY,Cleverland,9.5,9.3,9.32,9.49,9.51,9.56,9.69,15460700,"18,365",0.17,Positive,0.54,Positive,0.49,Positive
5/3/2013,KEY,Cleverland,9.63,9.49,9.53,9.52,9.59,9.7,9.77,15312000,"18,365",-0.01,Negative,0.38,Positive,0.32,Positive
6/3/2013,KEY,Cleverland,9.75,9.56,9.58,9.66,9.79,9.81,9.84,16675800,"18,365",0.08,Positive,0.28,Positive,0.45,Positive
7/3/2013,KEY,Cleverland,9.95,9.76,9.79,9.92,9.89,9.9,9.91,28278900,"18,365",0.13,Positive,0.21,Positive,0.24,Positive
8/3/2013,KEY,Cleverland,10.03,9.8,10.03,9.86,9.89,9.88,9.93,23450900,"18,365",-0.17,Negative,-0.03,Negative,-0.19,Negative
11/3/2013,KEY,Cleverland,9.95,9.83,9.88,9.91,9.89,9.92,9.98,14516700,"18,365",0.03,Positive,0.23,Positive,-0.33,Negative
12/3/2013,KEY,Cleverland,9.91,9.79,9.91,9.86,9.93,9.95,10.02,11780200,"18,365",-0.05,Negative,0.2,Positive,-0.26,Negative
13/03/2013,KEY,Cleverland,10.02,9.84,9.86,10,10,10.04,10.06,13891800,"18,365",0.14,Positive,0.21,Positive,-0.33,Negative
14/03/2013,KEY,Cleverland,10.05,9.89,10.04,10,10.06,10.07,10.09,11158200,"18,365",-0.04,Negative,0.11,Positive,-0.71,Negative
15/03/2013,KEY,Cleverland,10.14,9.92,9.99,10.11,10.11,10.1,10.09,19671800,"18,365",0.12,Positive,0.03,Positive,-0.58,Negative
18/03/2013,KEY,Cleverland,10.15,9.94,9.96,10.11,10.09,10.11,10.08,11376800,"18,365",0.15,Positive,0.09,Positive,-0.52,Negative
19/03/2013,KEY,Cleverland,10.16,9.97,10.15,10.07,10.11,10.08,10.05,14949200,"18,365",-0.08,Negative,-0.18,Negative,-0.56,Negative
20/03/2013,KEY,Cleverland,10.19,10.11,10.14,10.15,10.09,10.07,10.06,10090200,"18,365",0.01,Positive,-0.05,Negative,-0.41,Negative
21/03/2013,KEY,Cleverland,10.14,10,10.11,10.02,10.04,10.01,10.03,8109400,"18,365",-0.09,Negative,-0.07,Negative,-0.28,Negative
22/03/2013,KEY,Cleverland,10.07,10,10.06,10.05,10.01,10.04,10.02,6755700,"18,365",-0.01,Negative,-0.1,Negative,-0.26,Negative
25/03/2013,KEY,Cleverland,10.11,9.95,10.1,9.97,10.03,10.03,9.98,8408000,"18,365",-0.13,Negative,-0.28,Negative,-0.19,Negative
26/03/2013,KEY,Cleverland,10.1,9.95,10.01,10.09,10.07,10.03,9.93,9170300,"18,365",0.08,Positive,-0.26,Negative,-0.04,Negative
27/03/2013,KEY,Cleverland,10.04,9.94,10.02,10.04,10,9.94,9.83,6768700,"18,365",0.02,Positive,-0.43,Negative,-0.14,Negative
28/03/2013,KEY,Cleverland,10.1,9.88,10.01,9.96,9.89,9.84,9.77,11449300,"18,365",-0.05,Negative,-0.3,Negative,-0.09,Negative
1/4/2013,KEY,Cleverland,9.94,9.75,9.92,9.82,9.79,9.72,9.71,9236100,"18,365",-0.1,Negative,-0.26,Negative,0.11,Positive
2/4/2013,KEY,Cleverland,9.85,9.71,9.85,9.75,9.67,9.68,9.7,7406800,"18,365",-0.1,Negative,-0.04,Negative,0.29,Positive
3/4/2013,KEY,Cleverland,9.75,9.54,9.74,9.59,9.65,9.65,9.72,10510100,"18,365",-0.15,Negative,0.11,Positive,0.49,Positive
4/4/2013,KEY,Cleverland,9.72,9.57,9.59,9.71,9.69,9.73,9.81,9830700,"18,365",0.12,Positive,0.44,Positive,0.76,Positive
5/4/2013,KEY,Cleverland,9.69,9.44,9.57,9.66,9.74,9.77,9.88,16508900,"18,365",0.09,Positive,0.46,Positive,0.72,Positive
8/4/2013,KEY,Cleverland,9.81,9.56,9.64,9.81,9.83,9.9,9.91,8160700,"18,365",0.17,Positive,0.2,Positive,0.66,Positive
9/4/2013,KEY,Cleverland,9.9,9.76,9.82,9.85,9.94,9.97,9.86,6669800,"18,365",0.03,Positive,-0.27,Negative,0.53,Positive
10/4/2013,KEY,Cleverland,10.04,9.87,9.91,10.03,10.03,9.97,9.82,9333800,"18,365",0.12,Positive,-0.26,Negative,0.64,Positive
11/4/2013,KEY,Cleverland,10.26,9.94,10.04,10.03,9.94,9.81,9.72,23954600,"18,365",-0.01,Negative,-0.51,Negative,0.59,Positive
12/4/2013,KEY,Cleverland,10.03,9.83,9.95,9.84,9.7,9.68,9.58,14374000,"18,365",-0.11,Negative,-0.62,Negative,0.62,Positive
15/04/2013,KEY,Cleverland,9.83,9.55,9.8,9.55,9.6,9.58,9.49,12563800,"18,365",-0.25,Negative,-0.39,Negative,1,Positive
16/04/2013,KEY,Cleverland,9.7,9.54,9.7,9.65,9.59,9.5,9.47,13121100,"18,365",-0.05,Negative,-0.26,Negative,1.15,Positive
17/04/2013,KEY,Cleverland,9.64,9.46,9.58,9.53,9.43,9.42,9.46,13926500,"18,365",-0.05,Negative,0.01,Positive,1.28,Positive
18/04/2013,KEY,Cleverland,9.59,9.29,9.53,9.33,9.37,9.39,9.5,21239300,"18,365",-0.2,Negative,0.2,Positive,1.16,Positive
19/04/2013,KEY,Cleverland,9.45,9.29,9.37,9.41,9.43,9.48,9.6,9342100,"18,365",0.04,Positive,0.46,Positive,1.26,Positive
22/04/2013,KEY,Cleverland,9.54,9.3,9.39,9.44,9.52,9.59,9.68,8021200,"18,365",0.05,Positive,0.41,Positive,1.27,Positive
23/04/2013,KEY,Cleverland,9.65,9.48,9.48,9.59,9.66,9.72,9.77,9836700,"18,365",0.11,Positive,0.43,Positive,1.26,Positive
24/04/2013,KEY,Cleverland,9.75,9.58,9.58,9.73,9.78,9.79,9.85,6476400,"18,365",0.15,Positive,0.39,Positive,1.14,Positive
25/04/2013,KEY,Cleverland,9.9,9.76,9.76,9.83,9.82,9.85,9.88,6502200,"18,365",0.07,Positive,0.12,Positive,1.09,Positive
