Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,MS,New York,16.87,16.74,16.87,16.87,16.67,16.65,16.73,17198700,"57,702",0,Equal,-0.13,Negative,2.93,Positive
3/12/2012,MS,New York,17.01,16.43,17.01,16.47,16.54,16.69,16.75,15532000,"57,702",-0.54,Negative,-0.04,Negative,2.64,Positive
4/12/2012,MS,New York,16.46,16.35,16.46,16.61,16.8,16.78,16.86,14287900,"57,702",0.15,Positive,0.55,Positive,3.16,Positive
5/12/2012,MS,New York,16.7,16.7,16.7,16.98,16.86,16.9,17.09,15736300,"57,702",0.28,Positive,1.05,Positive,3.64,Positive
6/12/2012,MS,New York,16.95,16.69,16.95,16.74,16.85,16.91,17.23,16042600,"57,702",-0.21,Negative,0.75,Positive,3.22,Positive
7/12/2012,MS,New York,16.97,16.87,16.97,16.97,16.99,17.24,17.45,11488400,"57,702",0,Equal,0.83,Positive,3.1,Positive
10/12/2012,MS,New York,16.91,16.8,16.91,17.01,17.38,17.49,17.66,9740400,"57,702",0.1,Positive,1.14,Positive,3.52,Positive
11/12/2012,MS,New York,17.26,17.22,17.26,17.75,17.73,17.75,17.97,36051800,"57,702",0.49,Positive,1.27,Positive,3.28,Positive
12/12/2012,MS,New York,17.79,17.61,17.79,17.7,17.75,17.85,18.24,27771300,"57,702",-0.09,Negative,1.33,Positive,2.96,Positive
13/12/2012,MS,New York,17.66,17.58,17.66,17.8,17.92,18.13,18.52,19220900,"57,702",0.14,Positive,1.43,Positive,4.72,Positive
14/12/2012,MS,New York,17.72,17.7,17.72,18.05,18.29,18.57,18.81,16296500,"57,702",0.33,Positive,1.55,Positive,5.26,Positive
17/12/2012,MS,New York,18.08,18.07,18.08,18.53,18.83,18.91,18.99,16686000,"57,702",0.45,Positive,0.84,Positive,4.59,Positive
18/12/2012,MS,New York,18.62,18.62,18.62,19.12,19.11,19.16,19.07,25465100,"57,702",0.5,Positive,0.33,Positive,3.98,Positive
19/12/2012,MS,New York,19.27,18.84,19.27,19.09,19.18,19.09,19.02,21889300,"57,702",-0.18,Negative,-0.39,Negative,3.43,Positive
20/12/2012,MS,New York,19.05,19,19.05,19.27,19.1,19.05,18.96,19134000,"57,702",0.22,Positive,-0.28,Negative,3.26,Positive
21/12/2012,MS,New York,18.74,18.57,18.74,18.92,18.94,18.92,18.83,21669400,"57,702",0.18,Positive,-0.12,Negative,3.85,Positive
24/12/2012,MS,New York,18.9,18.82,18.9,18.95,18.92,18.87,18.87,3205700,"57,702",0.05,Positive,0.22,Positive,4.08,Positive
26/12/2012,MS,New York,19.02,18.84,19.02,18.88,18.82,18.76,19,9052900,"57,702",-0.14,Negative,0.6,Positive,3.83,Positive
27/12/2012,MS,New York,18.94,18.5,18.94,18.77,18.7,18.84,19.14,14656100,"57,702",-0.17,Negative,0.64,Positive,4.57,Positive
