Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,MTB,Buffalo,97.93,96.94,97.41,97.73,97.46,97.02,96.94,740000,"16,526",0.32,Positive,-0.07,Negative,5.05,Positive
3/12/2012,MTB,Buffalo,98.15,96.93,97.9,97.18,96.67,96.55,96.93,502800,"16,526",-0.72,Negative,-0.26,Negative,4.45,Positive
4/12/2012,MTB,Buffalo,97.64,96.03,97.21,96.15,96.24,96.6,97.09,899100,"16,526",-1.06,Negative,0.78,Positive,5.59,Positive
5/12/2012,MTB,Buffalo,97,95.68,96.53,96.32,96.83,97.1,97.42,755600,"16,526",-0.21,Negative,1.27,Positive,7.01,Positive
6/12/2012,MTB,Buffalo,97.47,96.15,96.33,97.34,97.49,97.66,97.78,934100,"16,526",1.01,Positive,1.78,Positive,6.91,Positive
7/12/2012,MTB,Buffalo,97.74,96.85,97.35,97.64,97.81,97.81,97.96,571000,"16,526",0.29,Positive,0.9,Positive,5.44,Positive
10/12/2012,MTB,Buffalo,99.4,97.04,97.35,97.99,97.9,97.97,98.01,723800,"16,526",0.64,Positive,0.56,Positive,6.1,Positive
11/12/2012,MTB,Buffalo,98.49,97.51,98.22,97.8,97.96,98.05,98.39,684800,"16,526",-0.42,Negative,1.67,Positive,4.68,Positive
12/12/2012,MTB,Buffalo,98.87,97.61,97.94,98.11,98.18,98.09,99.08,948400,"16,526",0.17,Positive,3.29,Positive,5.39,Positive
13/12/2012,MTB,Buffalo,99.18,97.76,98.66,98.25,98.08,98.68,99.58,718700,"16,526",-0.41,Negative,1.96,Positive,4.63,Positive
14/12/2012,MTB,Buffalo,98.14,97.65,97.71,97.91,98.9,99.68,100.16,895200,"16,526",0.2,Positive,3.42,Positive,7.05,Positive
17/12/2012,MTB,Buffalo,100.15,97.81,98.22,99.89,100.56,100.58,100.55,1367300,"16,526",1.67,Positive,1.64,Positive,5.89,Positive
18/12/2012,MTB,Buffalo,101.23,99.57,100.03,101.23,100.93,100.99,100.4,1882100,"16,526",1.2,Positive,-0.88,Negative,3.99,Positive
19/12/2012,MTB,Buffalo,101.63,100.35,100.81,100.62,100.88,100.54,99.93,695600,"16,526",-0.19,Negative,-1.94,Negative,3.18,Positive
20/12/2012,MTB,Buffalo,101.42,100.47,100.62,101.13,100.49,100.05,99.45,654200,"16,526",0.51,Positive,-2.36,Negative,2.51,Positive
21/12/2012,MTB,Buffalo,100.58,99.47,99.96,99.86,99.51,99.29,98.74,1693000,"16,526",-0.1,Negative,-2.41,Negative,3.46,Positive
24/12/2012,MTB,Buffalo,99.64,98.91,99.57,99.15,99.01,98.76,98.46,231900,"16,526",-0.42,Negative,-1.1,Negative,3.74,Positive
26/12/2012,MTB,Buffalo,99.7,98.32,99.54,98.87,98.57,98.23,98.84,396400,"16,526",-0.67,Negative,1.49,Positive,3.15,Positive
27/12/2012,MTB,Buffalo,99.12,97,99.04,98.26,97.91,98.09,99.29,576800,"16,526",-0.78,Negative,2.09,Positive,4.88,Positive
28/12/2012,MTB,Buffalo,98.43,97.49,97.51,97.55,98.01,99.02,100.2,552600,"16,526",0.04,Positive,5.29,Positive,5.19,Positive
31/12/2012,MTB,Buffalo,98.5,97.1,97.46,98.47,99.75,100.21,101.18,627800,"16,526",1.01,Positive,5,Positive,7,Positive
2/1/2013,MTB,Buffalo,101.03,99.59,100.33,101.03,101.08,101.65,101.95,704900,"16,526",0.7,Positive,2.02,Positive,3.72,Positive
3/1/2013,MTB,Buffalo,101.27,100.18,100.95,101.13,101.97,102.13,102.31,727000,"16,526",0.18,Positive,1.85,Positive,2.84,Positive
4/1/2013,MTB,Buffalo,102.86,101,101.2,102.8,102.63,102.54,102.79,852100,"16,526",1.6,Positive,2.34,Positive,3.19,Positive
7/1/2013,MTB,Buffalo,102.53,101.47,102.49,102.46,102.4,102.54,102.88,612400,"16,526",-0.03,Negative,0.75,Positive,1.75,Positive
8/1/2013,MTB,Buffalo,102.42,101.39,102.19,102.35,102.58,102.9,102.94,828200,"16,526",0.16,Positive,0.6,Positive,3.26,Positive
9/1/2013,MTB,Buffalo,103.16,102.28,102.49,102.8,103.17,103.19,103.16,483200,"16,526",0.31,Positive,0.96,Positive,2.18,Positive
10/1/2013,MTB,Buffalo,103.83,102.79,103.44,103.54,103.39,103.19,103.18,681900,"16,526",0.1,Positive,-0.54,Negative,1.16,Positive
11/1/2013,MTB,Buffalo,103.81,102.28,103.25,103.24,103.01,103.16,103.14,619000,"16,526",-0.01,Negative,0.08,Positive,1.58,Positive
14/01/2013,MTB,Buffalo,103.31,102.02,103.04,102.79,103.12,103.05,103.15,573000,"16,526",-0.25,Negative,0.25,Positive,2.74,Positive
15/01/2013,MTB,Buffalo,103.72,101.96,102.31,103.45,103.17,103.23,103.55,1165500,"16,526",1.14,Positive,2.45,Positive,2.34,Positive
16/01/2013,MTB,Buffalo,104.25,102.57,104.25,102.9,103.12,103.17,103.68,1087000,"16,526",-1.35,Negative,-0.14,Negative,-1.16,Negative
17/01/2013,MTB,Buffalo,103.51,102.64,103.11,103.33,103.31,103.79,103.9,1066800,"16,526",0.22,Positive,0.91,Positive,1.62,Positive
18/01/2013,MTB,Buffalo,103.83,102.7,103.75,103.29,104.03,104.05,104.03,949500,"16,526",-0.46,Negative,0.24,Positive,-1.89,Negative
22/01/2013,MTB,Buffalo,104.82,103.06,103.06,104.76,104.44,104.3,104,1288400,"16,526",1.7,Positive,0.07,Positive,-1.01,Negative
23/01/2013,MTB,Buffalo,104.82,103.88,104.6,104.11,104.06,104.04,103.73,696100,"16,526",-0.49,Negative,-1.18,Negative,-1.95,Negative
24/01/2013,MTB,Buffalo,104.92,103.74,104.2,104.02,104,103.71,103.57,533000,"16,526",-0.18,Negative,-0.89,Negative,-2.11,Negative
25/01/2013,MTB,Buffalo,104.43,103.25,104.36,103.99,103.56,103.51,103.31,584800,"16,526",-0.37,Negative,-1.67,Negative,-1.7,Negative
28/01/2013,MTB,Buffalo,104.01,103.09,104,103.13,103.27,103.29,103.29,894500,"16,526",-0.87,Negative,-0.08,Negative,-0.73,Negative
29/01/2013,MTB,Buffalo,103.5,102.73,103.11,103.42,103.36,103.14,103.21,851600,"16,526",0.31,Positive,-0.41,Negative,0.55,Positive
30/01/2013,MTB,Buffalo,103.52,102.35,103.33,103.31,103,103.31,103.42,1168400,"16,526",-0.02,Negative,1.13,Positive,0.5,Positive
31/01/2013,MTB,Buffalo,102.98,101.83,102.86,102.69,103.31,103.1,103.56,1128500,"16,526",-0.17,Negative,1.19,Positive,1.1,Positive
1/2/2013,MTB,Buffalo,104.14,102.67,103.23,103.92,103.31,103.69,103.78,721900,"16,526",0.69,Positive,0.56,Positive,0.73,Positive
4/2/2013,MTB,Buffalo,103.48,102.44,103.33,102.7,103.58,103.74,103.88,521800,"16,526",-0.63,Negative,1.06,Positive,0.85,Positive
5/2/2013,MTB,Buffalo,104.63,102.66,103.08,104.46,104.26,104.1,104.19,773300,"16,526",1.38,Positive,1.16,Positive,1.01,Positive
6/2/2013,MTB,Buffalo,104.14,103.39,103.68,104.05,103.92,104.08,104.38,587800,"16,526",0.37,Positive,1.77,Positive,0.54,Positive
7/2/2013,MTB,Buffalo,104.33,102.98,103.66,103.79,104.09,104.14,104.51,498700,"16,526",0.13,Positive,1.01,Positive,1.01,Positive
8/2/2013,MTB,Buffalo,104.54,103.61,103.85,104.39,104.31,104.69,104.67,408200,"16,526",0.54,Positive,0.75,Positive,0.5,Positive
11/2/2013,MTB,Buffalo,104.36,103.74,103.93,104.24,104.84,104.79,104.76,468300,"16,526",0.31,Positive,0.9,Positive,-0.62,Negative
12/2/2013,MTB,Buffalo,105.68,104.21,104.36,105.45,105.06,104.91,105.07,653500,"16,526",1.09,Positive,1.42,Positive,-1.51,Negative
13/02/2013,MTB,Buffalo,105.86,104.41,105.69,104.67,104.63,104.7,104.91,660100,"16,526",-1.02,Negative,-1.04,Negative,-2.4,Negative
14/02/2013,MTB,Buffalo,104.92,104.03,104.51,104.6,104.72,105.07,104.59,794000,"16,526",0.09,Positive,-1.42,Negative,-1.83,Negative
15/02/2013,MTB,Buffalo,105.1,104,104.98,104.83,105.31,105.09,104.62,639200,"16,526",-0.15,Negative,-0.25,Negative,-1.86,Negative
19/02/2013,MTB,Buffalo,105.89,104.87,104.99,105.78,105.22,104.51,104.02,1174600,"16,526",0.79,Positive,-3.13,Negative,-2.19,Negative
20/02/2013,MTB,Buffalo,105.52,104.54,105.41,104.65,103.87,104.16,103.28,666100,"16,526",-0.76,Negative,-3.36,Negative,-2.84,Negative
21/02/2013,MTB,Buffalo,104.79,102.97,104.44,103.09,103.91,103.23,102.88,647000,"16,526",-1.35,Negative,-1.79,Negative,-1.3,Negative
22/02/2013,MTB,Buffalo,104.73,103.22,103.65,104.73,103.3,102.88,102.68,696300,"16,526",1.08,Positive,-1.56,Negative,-0.49,Negative
25/02/2013,MTB,Buffalo,105.61,101.79,105.23,101.86,101.96,102.19,102.26,952800,"16,526",-3.37,Negative,-2.57,Negative,-2.73,Negative
26/02/2013,MTB,Buffalo,102.54,100.88,102.25,102.05,102.35,102.26,102.54,757300,"16,526",-0.2,Negative,1.02,Positive,-0.17,Negative
27/02/2013,MTB,Buffalo,102.88,101.3,102,102.65,102.37,102.47,102.87,626200,"16,526",0.65,Positive,1.66,Positive,-1.18,Negative
28/02/2013,MTB,Buffalo,102.77,101.55,101.77,102.09,102.38,102.67,103.1,741600,"16,526",0.32,Positive,2.06,Positive,-0.16,Negative
1/3/2013,MTB,Buffalo,102.88,100.82,101.59,102.66,102.97,103.2,103.48,616700,"16,526",1.07,Positive,2.37,Positive,-0.39,Negative
4/3/2013,MTB,Buffalo,103.36,102.17,102.17,103.27,103.47,103.59,103.74,537200,"16,526",1.1,Positive,1.79,Positive,-1.08,Negative
5/3/2013,MTB,Buffalo,104.18,103.44,103.65,103.66,103.75,103.82,103.92,793500,"16,526",0.01,Positive,0.53,Positive,-0.86,Negative
6/3/2013,MTB,Buffalo,104.19,103.36,104.1,103.83,103.9,103.92,104,785600,"16,526",-0.27,Negative,-0.01,Negative,0.39,Positive
7/3/2013,MTB,Buffalo,104.12,103.45,103.95,103.96,103.96,104.03,104.08,604100,"16,526",0.01,Positive,0.27,Positive,0.97,Positive
8/3/2013,MTB,Buffalo,104.6,103.63,104.57,103.96,104.07,104.08,104.22,556200,"16,526",-0.61,Negative,0.1,Positive,-4.33,Negative
11/3/2013,MTB,Buffalo,104.22,103.75,103.98,104.18,104.13,104.16,104.3,660000,"16,526",0.2,Positive,0.37,Positive,-5.62,Negative
12/3/2013,MTB,Buffalo,104.2,103.8,103.81,104.09,104.15,104.33,104.13,989200,"16,526",0.28,Positive,-0.5,Negative,-5.33,Negative
13/03/2013,MTB,Buffalo,104.31,103.68,104.15,104.22,104.44,104.41,103.88,475100,"16,526",0.07,Positive,-1.3,Negative,-7.6,Negative
14/03/2013,MTB,Buffalo,104.77,104.24,104.42,104.67,104.51,104.11,103.69,395700,"16,526",0.25,Positive,-1.13,Negative,-6.85,Negative
15/03/2013,MTB,Buffalo,104.87,104.02,104.65,104.35,103.83,103.5,103.3,968600,"16,526",-0.3,Negative,-1.97,Negative,-5.9,Negative
18/03/2013,MTB,Buffalo,104.6,102.5,104.1,103.31,103.08,103.15,103.05,636000,"16,526",-0.79,Negative,-0.98,Negative,-5.42,Negative
