Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,PBCT,Bridgeport,12.2,12.06,12.07,12.19,12.15,12.13,12.14,3797500,"4,749",0.12,Positive,0.07,Positive,0.49,Positive
3/12/2012,PBCT,Bridgeport,12.26,12.05,12.2,12.1,12.1,12.13,12.12,4541200,"4,749",-0.1,Negative,-0.14,Negative,0.36,Positive
4/12/2012,PBCT,Bridgeport,12.17,12.03,12.06,12.1,12.15,12.14,12.13,2247000,"4,749",0.04,Positive,0.1,Positive,0.51,Positive
5/12/2012,PBCT,Bridgeport,12.23,12.1,12.11,12.19,12.17,12.13,12.17,3476000,"4,749",0.08,Positive,0.17,Positive,0.5,Positive
6/12/2012,PBCT,Bridgeport,12.27,12.08,12.21,12.14,12.1,12.12,12.18,2889700,"4,749",-0.07,Negative,0.05,Positive,0.38,Positive
7/12/2012,PBCT,Bridgeport,12.2,11.99,12.14,12.06,12.11,12.17,12.19,4821600,"4,749",-0.08,Negative,0.03,Positive,0.52,Positive
10/12/2012,PBCT,Bridgeport,12.23,12.01,12.02,12.16,12.22,12.23,12.21,2567800,"4,749",0.14,Positive,0.14,Positive,0.64,Positive
11/12/2012,PBCT,Bridgeport,12.28,12.1,12.16,12.28,12.27,12.24,12.24,3573700,"4,749",0.12,Positive,0.15,Positive,0.48,Positive
12/12/2012,PBCT,Bridgeport,12.35,12.23,12.3,12.26,12.22,12.2,12.26,2970700,"4,749",-0.04,Negative,0.1,Positive,0.41,Positive
13/12/2012,PBCT,Bridgeport,12.27,12.12,12.24,12.17,12.17,12.21,12.27,2589600,"4,749",-0.07,Negative,0.08,Positive,0.15,Positive
14/12/2012,PBCT,Bridgeport,12.23,12.09,12.2,12.16,12.24,12.29,12.31,1671200,"4,749",-0.04,Negative,0.14,Positive,0.34,Positive
17/12/2012,PBCT,Bridgeport,12.31,12.12,12.17,12.31,12.36,12.34,12.3,2020000,"4,749",0.14,Positive,-0.03,Negative,0.32,Positive
18/12/2012,PBCT,Bridgeport,12.4,12.24,12.33,12.4,12.36,12.35,12.27,4814600,"4,749",0.07,Positive,-0.2,Negative,0.18,Positive
19/12/2012,PBCT,Bridgeport,12.44,12.31,12.38,12.32,12.33,12.27,12.2,1918400,"4,749",-0.06,Negative,-0.31,Negative,0.09,Positive
20/12/2012,PBCT,Bridgeport,12.36,12.25,12.28,12.34,12.24,12.2,12.15,2457500,"4,749",0.06,Positive,-0.21,Negative,0.23,Positive
21/12/2012,PBCT,Bridgeport,12.26,12.05,12.23,12.14,12.14,12.11,12.08,5218700,"4,749",-0.09,Negative,-0.26,Negative,0.33,Positive
24/12/2012,PBCT,Bridgeport,12.16,12.08,12.16,12.13,12.1,12.09,12.07,1135400,"4,749",-0.03,Negative,-0.07,Negative,0.19,Positive
26/12/2012,PBCT,Bridgeport,12.17,12.01,12.17,12.07,12.07,12.04,12.13,1636500,"4,749",-0.1,Negative,0.27,Positive,0.15,Positive
27/12/2012,PBCT,Bridgeport,12.12,11.91,12.09,12.07,12.02,12.04,12.21,2828500,"4,749",-0.02,Negative,0.39,Positive,0.42,Positive
28/12/2012,PBCT,Bridgeport,12.07,11.94,11.99,11.97,12.03,12.17,12.32,1924000,"4,749",-0.02,Negative,0.61,Positive,0.41,Positive
31/12/2012,PBCT,Bridgeport,12.1,11.91,11.93,12.09,12.27,12.34,12.43,2486900,"4,749",0.16,Positive,0.63,Positive,0.6,Positive
2/1/2013,PBCT,Bridgeport,12.44,12.22,12.22,12.44,12.46,12.51,12.53,3251500,"4,749",0.22,Positive,0.34,Positive,0.34,Positive
3/1/2013,PBCT,Bridgeport,12.53,12.35,12.45,12.48,12.54,12.55,12.55,2626800,"4,749",0.03,Positive,0.12,Positive,0.07,Positive
4/1/2013,PBCT,Bridgeport,12.68,12.5,12.53,12.6,12.58,12.57,12.58,1792500,"4,749",0.07,Positive,0.08,Positive,0.02,Positive
7/1/2013,PBCT,Bridgeport,12.61,12.45,12.53,12.56,12.56,12.56,12.58,1593600,"4,749",0.03,Positive,0.06,Positive,0.06,Positive
8/1/2013,PBCT,Bridgeport,12.6,12.46,12.57,12.56,12.57,12.58,12.6,2121400,"4,749",-0.01,Negative,0.09,Positive,0.21,Positive
9/1/2013,PBCT,Bridgeport,12.65,12.53,12.58,12.57,12.59,12.59,12.62,1660100,"4,749",-0.01,Negative,0.08,Positive,0.28,Positive
10/1/2013,PBCT,Bridgeport,12.66,12.51,12.6,12.61,12.6,12.62,12.63,2219800,"4,749",0.01,Positive,0.04,Positive,0.31,Positive
11/1/2013,PBCT,Bridgeport,12.67,12.48,12.67,12.59,12.63,12.64,12.65,1651900,"4,749",-0.08,Negative,0.04,Positive,0.28,Positive
14/01/2013,PBCT,Bridgeport,12.7,12.55,12.61,12.66,12.66,12.65,12.61,1970300,"4,749",0.05,Positive,-0.22,Negative,0.46,Positive
15/01/2013,PBCT,Bridgeport,12.71,12.6,12.65,12.66,12.65,12.67,12.59,1495600,"4,749",0.01,Positive,-0.11,Negative,0.34,Positive
16/01/2013,PBCT,Bridgeport,12.7,12.51,12.58,12.64,12.68,12.58,12.55,1775900,"4,749",0.06,Positive,-0.09,Negative,0.32,Positive
17/01/2013,PBCT,Bridgeport,12.75,12.61,12.64,12.71,12.55,12.55,12.53,1839700,"4,749",0.07,Positive,-0.13,Negative,0.3,Positive
