Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days ,Aggregated Data3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,PNC,Pittsburgh,56.36,55.25,55.46,56.14,55.73,55.51,55.55,4378900,"50,123",0.68,Positive,-0.13,Negative,5.57,Positive
3/12/2012,PNC,Pittsburgh,56.46,55.14,56.38,55.31,55.2,55.43,55.48,4484500,"50,123",-1.07,Negative,-0.58,Negative,3.87,Positive
4/12/2012,PNC,Pittsburgh,55.56,54.34,55.17,55.08,55.49,55.43,55.6,4250700,"50,123",-0.09,Negative,0.71,Positive,5,Positive
5/12/2012,PNC,Pittsburgh,56.38,55.37,55.42,55.89,55.61,55.67,55.83,4416200,"50,123",0.47,Positive,0.82,Positive,5.72,Positive
6/12/2012,PNC,Pittsburgh,55.94,55.02,55.9,55.33,55.57,55.67,55.99,3861100,"50,123",-0.57,Negative,0.8,Positive,4.15,Positive
7/12/2012,PNC,Pittsburgh,55.86,55.33,55.71,55.8,55.84,55.97,56.23,4521500,"50,123",0.09,Positive,0.83,Positive,3.74,Positive
10/12/2012,PNC,Pittsburgh,56.02,55.49,55.7,55.88,56.06,56.27,56.24,3364900,"50,123",0.18,Positive,0.15,Positive,4.07,Positive
11/12/2012,PNC,Pittsburgh,56.67,55.77,55.92,56.24,56.47,56.49,56.64,3711000,"50,123",0.32,Positive,1.95,Positive,3.86,Positive
12/12/2012,PNC,Pittsburgh,56.99,56.2,56.35,56.7,56.62,56.36,57.3,4329300,"50,123",0.35,Positive,3.17,Positive,5.66,Positive
13/12/2012,PNC,Pittsburgh,56.81,56.37,56.56,56.54,56.19,56.75,57.68,3851800,"50,123",-0.02,Negative,2.07,Positive,5.28,Positive
14/12/2012,PNC,Pittsburgh,56.81,55.75,56.36,55.85,56.86,57.75,58.21,3557900,"50,123",-0.51,Negative,2.81,Positive,5.76,Positive
17/12/2012,PNC,Pittsburgh,57.92,56.06,56.2,57.87,58.69,58.67,58.7,3844400,"50,123",1.67,Positive,2.11,Positive,5.64,Positive
18/12/2012,PNC,Pittsburgh,59.58,57.57,57.9,59.52,59.08,59.11,58.84,9490300,"50,123",1.62,Positive,0.67,Positive,3.96,Positive
19/12/2012,PNC,Pittsburgh,59.88,58.63,59.88,58.63,58.9,58.7,58.55,4391800,"50,123",-1.25,Negative,-1.83,Negative,2.09,Positive
20/12/2012,PNC,Pittsburgh,59.21,58.55,58.63,59.17,58.74,58.68,58.41,3746800,"50,123",0.54,Positive,-0.68,Negative,3.34,Positive
21/12/2012,PNC,Pittsburgh,58.7,57.71,58.11,58.31,58.44,58.31,58.07,5403700,"50,123",0.2,Positive,-0.65,Negative,3.8,Positive
24/12/2012,PNC,Pittsburgh,58.68,58.12,58.23,58.57,58.31,58.19,58.07,1315600,"50,123",0.34,Positive,0.08,Positive,3.59,Positive
26/12/2012,PNC,Pittsburgh,58.77,57.66,58.62,58.05,58,57.82,58.26,2169200,"50,123",-0.57,Negative,0.92,Positive,3.18,Positive
27/12/2012,PNC,Pittsburgh,58.28,57.37,58.06,57.95,57.71,57.91,58.6,2467100,"50,123",-0.11,Negative,1.69,Positive,5.14,Positive
28/12/2012,PNC,Pittsburgh,58.15,57.39,57.47,57.46,57.89,58.44,59.11,1729100,"50,123",-0.01,Negative,3.01,Positive,5.02,Positive
31/12/2012,PNC,Pittsburgh,58.32,57.2,57.42,58.31,58.93,59.2,59.82,2640400,"50,123",0.89,Positive,3.61,Positive,5.77,Positive
2/1/2013,PNC,Pittsburgh,59.64,58.96,59.51,59.54,59.65,59.92,60.21,4558700,"50,123",0.03,Positive,0.74,Positive,3.83,Positive
3/1/2013,PNC,Pittsburgh,59.92,59.23,59.54,59.75,60.12,60.42,60.34,3822200,"50,123",0.21,Positive,0.63,Positive,4.11,Positive
4/1/2013,PNC,Pittsburgh,60.57,59.54,59.93,60.48,60.75,60.59,60.61,2859900,"50,123",0.55,Positive,1.21,Positive,3.42,Positive
7/1/2013,PNC,Pittsburgh,61.2,60.08,60.25,61.03,60.64,60.48,60.53,3987900,"50,123",0.78,Positive,-0.2,Negative,3.75,Positive
