Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,SCHW,San Francisco,13.17,13.03,13.09,13.1,13.05,12.99,12.99,7429800,"17,300",0.01,Positive,-0.03,Negative,2.18,Positive
3/12/2012,SCHW,San Francisco,13.23,12.96,13.12,12.99,12.94,12.93,13.06,9524100,"17,300",-0.13,Negative,0.3,Positive,2.1,Positive
4/12/2012,SCHW,San Francisco,13.07,12.82,13,12.88,12.91,12.96,13.13,9360700,"17,300",-0.12,Negative,0.37,Positive,2.13,Positive
5/12/2012,SCHW,San Francisco,13.05,12.87,12.92,12.93,13,13.14,13.29,11681100,"17,300",0.01,Positive,0.75,Positive,2.41,Positive
6/12/2012,SCHW,San Francisco,13.07,12.88,13,13.06,13.24,13.28,13.44,5773300,"17,300",0.06,Positive,0.67,Positive,2.39,Positive
7/12/2012,SCHW,San Francisco,13.42,13.08,13.1,13.42,13.4,13.49,13.58,7642400,"17,300",0.32,Positive,0.65,Positive,2.17,Positive
10/12/2012,SCHW,San Francisco,13.46,13.14,13.37,13.37,13.52,13.57,13.63,7528000,"17,300",0,Equal,0.33,Positive,1.92,Positive
11/12/2012,SCHW,San Francisco,13.71,13.44,13.45,13.67,13.67,13.7,13.73,9028200,"17,300",0.22,Positive,0.42,Positive,1.6,Positive
12/12/2012,SCHW,San Francisco,13.83,13.62,13.71,13.67,13.71,13.71,13.84,10462900,"17,300",-0.04,Negative,0.5,Positive,1.54,Positive
13/12/2012,SCHW,San Francisco,13.82,13.63,13.68,13.75,13.73,13.77,14,8083100,"17,300",0.07,Positive,0.79,Positive,1.77,Positive
14/12/2012,SCHW,San Francisco,13.74,13.43,13.58,13.7,13.79,13.93,14.14,10440000,"17,300",0.12,Positive,0.88,Positive,2.13,Positive
17/12/2012,SCHW,San Francisco,13.89,13.65,13.76,13.87,14.04,14.18,14.27,8355000,"17,300",0.11,Positive,0.56,Positive,1.88,Positive
18/12/2012,SCHW,San Francisco,14.23,13.78,13.88,14.21,14.34,14.38,14.36,8818300,"17,300",0.33,Positive,0.45,Positive,1.93,Positive
19/12/2012,SCHW,San Francisco,14.66,14.2,14.26,14.47,14.47,14.42,14.37,20338700,"17,300",0.21,Positive,0,Equal,1.79,Positive
20/12/2012,SCHW,San Francisco,14.56,14.27,14.51,14.46,14.39,14.37,14.32,9179900,"17,300",-0.05,Negative,-0.3,Negative,1.59,Positive
21/12/2012,SCHW,San Francisco,14.42,14.2,14.33,14.32,14.33,14.3,14.25,12546300,"17,300",-0.01,Negative,-0.19,Negative,2.14,Positive
24/12/2012,SCHW,San Francisco,14.36,14.21,14.3,14.33,14.3,14.27,14.26,1699800,"17,300",0.03,Positive,0.06,Positive,2.21,Positive
26/12/2012,SCHW,San Francisco,14.4,14.23,14.35,14.26,14.24,14.2,14.41,3421800,"17,300",-0.09,Negative,0.73,Positive,2.18,Positive
27/12/2012,SCHW,San Francisco,14.33,14,14.26,14.21,14.18,14.24,14.57,6928700,"17,300",-0.05,Negative,0.8,Positive,2.49,Positive
28/12/2012,SCHW,San Francisco,14.25,14.08,14.12,14.14,14.25,14.53,14.82,5923700,"17,300",0.02,Positive,1.34,Positive,2.27,Positive
31/12/2012,SCHW,San Francisco,14.37,14.08,14.12,14.36,14.72,14.83,15.05,8220900,"17,300",0.24,Positive,1.15,Positive,2.53,Positive
2/1/2013,SCHW,San Francisco,15.08,14.62,14.67,15.08,15.07,15.2,15.22,15607600,"17,300",0.41,Positive,0.55,Positive,2.12,Positive
3/1/2013,SCHW,San Francisco,15.2,14.86,15.05,15.06,15.26,15.26,15.23,14175900,"17,300",0.01,Positive,0.08,Positive,2.06,Positive
4/1/2013,SCHW,San Francisco,15.57,15.05,15.07,15.46,15.37,15.32,15.28,16143400,"17,300",0.39,Positive,0.26,Positive,1.82,Positive
7/1/2013,SCHW,San Francisco,15.41,15.07,15.41,15.27,15.25,15.21,15.27,10327300,"17,300",-0.14,Negative,-0.02,Negative,1.32,Positive
8/1/2013,SCHW,San Francisco,15.34,15.07,15.26,15.22,15.18,15.23,15.27,9954300,"17,300",-0.04,Negative,0.01,Positive,1.6,Positive
9/1/2013,SCHW,San Francisco,15.31,15,15.28,15.13,15.23,15.28,15.28,7591200,"17,300",-0.15,Negative,0.01,Positive,1.64,Positive
10/1/2013,SCHW,San Francisco,15.37,15.14,15.25,15.33,15.36,15.33,15.27,7617400,"17,300",0.08,Positive,-0.2,Negative,1.67,Positive
11/1/2013,SCHW,San Francisco,15.42,15.24,15.29,15.39,15.33,15.32,15.25,6940000,"17,300",0.1,Positive,-0.04,Negative,1.61,Positive
14/01/2013,SCHW,San Francisco,15.41,15.25,15.39,15.27,15.28,15.2,15.26,8394700,"17,300",-0.12,Negative,0.06,Positive,1.71,Positive
15/01/2013,SCHW,San Francisco,15.3,15.11,15.17,15.29,15.17,15.2,15.35,9215900,"17,300",0.12,Positive,0.54,Positive,1.52,Positive
16/01/2013,SCHW,San Francisco,15.25,14.98,15.16,15.05,15.15,15.25,15.42,11803900,"17,300",-0.11,Negative,0.48,Positive,1.21,Positive
17/01/2013,SCHW,San Francisco,15.3,15.09,15.17,15.25,15.35,15.47,15.57,11575600,"17,300",0.08,Positive,0.64,Positive,1.56,Positive
18/01/2013,SCHW,San Francisco,15.47,15.21,15.25,15.45,15.58,15.6,15.73,7547100,"17,300",0.2,Positive,0.8,Positive,1.07,Positive
22/01/2013,SCHW,San Francisco,15.74,15.37,15.44,15.71,15.68,15.72,15.86,8550400,"17,300",0.27,Positive,0.66,Positive,0.77,Positive
23/01/2013,SCHW,San Francisco,15.8,15.52,15.74,15.64,15.73,15.83,16.01,8078600,"17,300",-0.1,Negative,0.73,Positive,0.67,Positive
24/01/2013,SCHW,San Francisco,15.87,15.66,15.67,15.81,15.93,15.99,16.19,7063700,"17,300",0.14,Positive,0.84,Positive,0.57,Positive
25/01/2013,SCHW,San Francisco,16.05,15.81,15.84,16.05,16.07,16.21,16.33,8503400,"17,300",0.21,Positive,0.69,Positive,0.56,Positive
28/01/2013,SCHW,San Francisco,16.2,15.93,16.07,16.1,16.28,16.36,16.47,9171100,"17,300",0.03,Positive,0.68,Positive,0.71,Positive
29/01/2013,SCHW,San Francisco,16.64,16.01,16.06,16.47,16.49,16.5,16.53,19967900,"17,300",0.41,Positive,0.33,Positive,0.92,Positive
30/01/2013,SCHW,San Francisco,16.62,16.37,16.45,16.51,16.52,16.6,16.57,11533500,"17,300",0.06,Positive,0.2,Positive,0.9,Positive
31/01/2013,SCHW,San Francisco,16.66,16.31,16.49,16.53,16.64,16.56,16.62,10907700,"17,300",0.04,Positive,0.3,Positive,1.09,Positive
1/2/2013,SCHW,San Francisco,16.94,16.59,16.63,16.75,16.57,16.6,16.74,12996600,"17,300",0.12,Positive,0.48,Positive,1.03,Positive
4/2/2013,SCHW,San Francisco,16.57,16.36,16.57,16.39,16.52,16.61,16.77,11414400,"17,300",-0.18,Negative,0.32,Positive,1.14,Positive
5/2/2013,SCHW,San Francisco,16.77,16.47,16.52,16.65,16.72,16.85,16.83,8622100,"17,300",0.13,Positive,0.21,Positive,1.22,Positive
6/2/2013,SCHW,San Francisco,16.81,16.45,16.49,16.79,16.95,16.93,16.88,11953700,"17,300",0.3,Positive,0.37,Positive,1.62,Positive
7/2/2013,SCHW,San Francisco,17.41,16.49,16.76,17.11,17,16.91,16.9,33838000,"17,300",0.35,Positive,0.16,Positive,1.22,Positive
8/2/2013,SCHW,San Francisco,17.23,16.81,17.18,16.89,16.81,16.83,16.86,15136100,"17,300",-0.29,Negative,-0.26,Negative,0.68,Positive
11/2/2013,SCHW,San Francisco,16.88,16.48,16.5,16.73,16.8,16.84,16.87,10541400,"17,300",0.23,Positive,0.4,Positive,1.16,Positive
12/2/2013,SCHW,San Francisco,16.94,16.72,16.72,16.86,16.89,16.9,16.94,6751600,"17,300",0.14,Positive,0.38,Positive,0.83,Positive
