Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Close2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,STI,Atlanta,27.29,26.95,26.97,27.15,26.89,26.68,26.75,3165600,"24,375",0.18,Positive,-0.27,Negative,2,Positive
3/12/2012,STI,Atlanta,27.19,26.56,27.15,26.63,26.44,26.5,26.76,4719300,"24,375",-0.52,Negative,0.03,Positive,1.83,Positive
4/12/2012,STI,Atlanta,26.71,25.99,26.66,26.26,26.43,26.52,26.92,6320000,"24,375",-0.4,Negative,0.54,Positive,2.05,Positive
5/12/2012,STI,Atlanta,26.84,26.26,26.3,26.6,26.65,26.83,27.17,4556800,"24,375",0.3,Positive,1.29,Positive,2.3,Positive
6/12/2012,STI,Atlanta,26.73,26.48,26.58,26.7,26.94,27.03,27.27,2856000,"24,375",0.12,Positive,1.19,Positive,1.73,Positive
7/12/2012,STI,Atlanta,27.19,26.7,26.8,27.18,27.19,27.32,27.34,4032300,"24,375",0.38,Positive,0.4,Positive,1.29,Positive
10/12/2012,STI,Atlanta,27.45,26.95,27.11,27.2,27.4,27.52,27.45,6144500,"24,375",0.09,Positive,-0.04,Negative,1.78,Positive
11/12/2012,STI,Atlanta,27.74,27.09,27.33,27.59,27.68,27.52,27.66,4608900,"24,375",0.26,Positive,0.51,Positive,1.9,Positive
12/12/2012,STI,Atlanta,28.1,27.65,27.73,27.77,27.49,27.35,27.82,5948700,"24,375",0.04,Positive,0.73,Positive,1.84,Positive
13/12/2012,STI,Atlanta,27.84,27.04,27.69,27.2,27.14,27.37,28.02,4823300,"24,375",-0.49,Negative,0.87,Positive,1.45,Positive
14/12/2012,STI,Atlanta,27.3,26.98,27.19,27.07,27.46,27.79,28.19,2359400,"24,375",-0.12,Negative,1.78,Positive,1.95,Positive
17/12/2012,STI,Atlanta,27.85,27.16,27.23,27.84,28.15,28.29,28.35,5193800,"24,375",0.61,Positive,1.04,Positive,1.87,Positive
18/12/2012,STI,Atlanta,28.48,27.89,27.96,28.46,28.51,28.66,28.37,6339100,"24,375",0.5,Positive,0.03,Positive,1.44,Positive
19/12/2012,STI,Atlanta,28.92,28.47,28.59,28.56,28.76,28.6,28.3,5148400,"24,375",-0.03,Negative,-0.59,Negative,0.76,Positive
20/12/2012,STI,Atlanta,28.97,28.54,28.6,28.97,28.62,28.41,28.17,4974600,"24,375",0.37,Positive,-0.61,Negative,0.67,Positive
21/12/2012,STI,Atlanta,28.76,28.05,28.63,28.27,28.13,28.09,28.07,10674900,"24,375",-0.36,Negative,-0.84,Negative,0.26,Positive
24/12/2012,STI,Atlanta,28.42,27.9,28.2,27.99,28,27.99,28.23,2374600,"24,375",-0.21,Negative,0.15,Positive,0.33,Positive
26/12/2012,STI,Atlanta,28.35,27.94,28.07,28,28,27.93,28.34,3435700,"24,375",-0.07,Negative,1.19,Positive,0.3,Positive
27/12/2012,STI,Atlanta,28.09,27.44,28,27.99,27.89,28.04,28.57,3286000,"24,375",-0.01,Negative,0.63,Positive,1.1,Positive
28/12/2012,STI,Atlanta,28.08,27.67,27.72,27.79,28.07,28.47,28.74,3157900,"24,375",0.07,Positive,1.7,Positive,0.97,Positive
31/12/2012,STI,Atlanta,28.41,27.7,27.7,28.35,28.81,28.75,28.93,5677700,"24,375",0.65,Positive,1.27,Positive,1.06,Positive
2/1/2013,STI,Atlanta,29.26,28.85,29.08,29.26,28.94,29.1,28.99,7992800,"24,375",0.18,Positive,-0.1,Negative,-0.34,Negative
3/1/2013,STI,Atlanta,28.7,27.98,28.66,28.63,29.02,29.01,28.88,9399200,"24,375",-0.03,Negative,0.05,Positive,0.17,Positive
4/1/2013,STI,Atlanta,29.45,28.84,29.17,29.42,29.19,29.12,28.83,5808400,"24,375",0.25,Positive,-0.57,Negative,0.08,Positive
7/1/2013,STI,Atlanta,29.33,28.74,29.25,28.97,28.97,28.89,28.61,3372200,"24,375",-0.28,Negative,-0.94,Negative,0.1,Positive
8/1/2013,STI,Atlanta,29,28.46,28.91,28.98,28.84,28.76,28.6,7371800,"24,375",0.07,Positive,-0.82,Negative,0.51,Positive
9/1/2013,STI,Atlanta,29.22,28.59,29.03,28.71,28.65,28.54,28.64,5371800,"24,375",-0.32,Negative,-0.14,Negative,-0.09,Negative
10/1/2013,STI,Atlanta,29.09,28.34,28.95,28.6,28.45,28.33,28.78,9118900,"24,375",-0.35,Negative,0.28,Positive,-0.16,Negative
11/1/2013,STI,Atlanta,28.57,27.92,28.54,28.31,28.2,28.43,28.87,7472800,"24,375",-0.23,Negative,1.03,Positive,-0.42,Negative
14/01/2013,STI,Atlanta,28.38,27.97,28.31,28.09,28.49,28.74,29.01,4847500,"24,375",-0.22,Negative,0.83,Positive,-0.62,Negative
15/01/2013,STI,Atlanta,28.95,27.93,28.05,28.89,29.06,29.23,29.18,5913000,"24,375",0.84,Positive,1.09,Positive,-0.47,Negative
16/01/2013,STI,Atlanta,29.37,28.7,28.89,29.23,29.4,29.31,29.26,4607600,"24,375",0.34,Positive,0.21,Positive,-1.43,Negative
17/01/2013,STI,Atlanta,29.69,29.21,29.44,29.57,29.35,29.28,29.28,6591300,"24,375",0.13,Positive,-0.04,Negative,-1.54,Negative
18/01/2013,STI,Atlanta,29.98,28.73,29.47,29.14,29.14,29.13,29.23,8287700,"24,375",-0.33,Negative,-0.12,Negative,-2.35,Negative
22/01/2013,STI,Atlanta,29.23,28.83,29.02,29.14,29.12,29.21,29.19,6656600,"24,375",0.12,Positive,0.25,Positive,-1.61,Negative
23/01/2013,STI,Atlanta,29.2,28.76,29.07,29.1,29.25,29.28,29.09,3539100,"24,375",0.03,Positive,-0.18,Negative,-1.35,Negative
24/01/2013,STI,Atlanta,29.6,29.02,29.04,29.4,29.38,29.34,28.97,7339200,"24,375",0.36,Positive,-0.51,Negative,-1.45,Negative
25/01/2013,STI,Atlanta,29.55,29.1,29.53,29.35,29.31,29.17,28.92,5849700,"24,375",-0.18,Negative,-1.16,Negative,-1.98,Negative
28/01/2013,STI,Atlanta,29.47,29.12,29.41,29.27,29.08,28.9,28.81,4088500,"24,375",-0.14,Negative,-0.31,Negative,-1.39,Negative
29/01/2013,STI,Atlanta,29.37,28.86,29.24,28.89,28.71,28.6,28.72,5237100,"24,375",-0.35,Negative,-0.55,Negative,-1.24,Negative
30/01/2013,STI,Atlanta,28.89,28.41,28.69,28.53,28.45,28.67,28.7,7470600,"24,375",-0.16,Negative,0.07,Positive,-0.52,Negative
31/01/2013,STI,Atlanta,28.51,28.04,28.51,28.37,28.74,28.72,28.75,8518500,"24,375",-0.14,Negative,0.23,Positive,0.05,Positive
1/2/2013,STI,Atlanta,29.15,28.56,28.66,29.1,28.9,28.85,28.9,5276800,"24,375",0.44,Positive,0.17,Positive,0.69,Positive
4/2/2013,STI,Atlanta,28.89,28.63,28.86,28.69,28.73,28.73,28.94,4854900,"24,375",-0.17,Negative,0.39,Positive,0.87,Positive
5/2/2013,STI,Atlanta,29.04,28.73,28.89,28.76,28.75,28.78,29.06,4963900,"24,375",-0.13,Negative,0.46,Positive,0.57,Positive
6/2/2013,STI,Atlanta,28.84,28.5,28.62,28.74,28.79,28.94,29.09,6460800,"24,375",0.12,Positive,0.8,Positive,1.01,Positive
7/2/2013,STI,Atlanta,28.97,28.46,28.76,28.83,29.04,29.14,29.1,4725000,"24,375",0.07,Positive,0.18,Positive,0.86,Positive
8/2/2013,STI,Atlanta,29.3,28.8,28.87,29.25,29.3,29.34,28.98,3136200,"24,375",0.38,Positive,-0.08,Negative,0.19,Positive
