Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,STT,Boston,44.76,44.31,44.56,44.44,44.57,44.52,44.55,3693500,"35,606",-0.12,Negative,0.01,Positive,4.88,Positive
3/12/2012,STT,Boston,45.07,44.41,44.62,44.71,44.56,44.58,44.69,4634900,"35,606",0.09,Positive,0.53,Positive,4.49,Positive
4/12/2012,STT,Boston,45.05,44.29,44.76,44.4,44.52,44.53,44.74,5091800,"35,606",-0.36,Negative,0.18,Positive,4.75,Positive
5/12/2012,STT,Boston,44.95,44.42,44.42,44.63,44.6,44.78,44.93,5065000,"35,606",0.21,Positive,0.93,Positive,5.83,Positive
6/12/2012,STT,Boston,44.7,44.05,44.62,44.57,44.86,44.89,45.08,3473400,"35,606",-0.05,Negative,0.79,Positive,5.96,Positive
7/12/2012,STT,Boston,45.16,44.61,44.66,45.15,45.05,45.15,45.24,4882700,"35,606",0.49,Positive,0.69,Positive,6.35,Positive
10/12/2012,STT,Boston,45.47,44.6,45.47,44.94,45.14,45.23,45.3,2804900,"35,606",-0.53,Negative,-0.02,Negative,5.33,Positive
11/12/2012,STT,Boston,45.41,44.88,45.05,45.35,45.38,45.37,45.6,3470500,"35,606",0.3,Positive,1.38,Positive,4.8,Positive
12/12/2012,STT,Boston,45.98,45.22,45.49,45.41,45.38,45.4,45.92,3963700,"35,606",-0.08,Negative,1.48,Positive,4.89,Positive
13/12/2012,STT,Boston,45.6,45.24,45.41,45.35,45.4,45.74,46.14,2613900,"35,606",-0.06,Negative,1.09,Positive,7.95,Positive
14/12/2012,STT,Boston,45.73,45.24,45.31,45.45,45.94,46.28,46.38,3154800,"35,606",0.14,Positive,1.24,Positive,9.94,Positive
17/12/2012,STT,Boston,46.45,45.57,45.68,46.43,46.7,46.63,46.57,3343600,"35,606",0.75,Positive,0.73,Positive,9.65,Positive
18/12/2012,STT,Boston,47.3,46.25,46.41,46.97,46.74,46.67,46.56,4532700,"35,606",0.56,Positive,-0.03,Negative,9.11,Positive
19/12/2012,STT,Boston,47.04,46.45,47.01,46.5,46.52,46.49,46.46,4836600,"35,606",-0.51,Negative,-0.54,Negative,9.44,Positive
20/12/2012,STT,Boston,46.6,46.24,46.53,46.55,46.48,46.45,46.43,3136400,"35,606",0.02,Positive,-0.21,Negative,9.86,Positive
21/12/2012,STT,Boston,46.44,45.6,45.97,46.41,46.4,46.42,46.33,7871900,"35,606",0.44,Positive,0.08,Positive,10.07,Positive
24/12/2012,STT,Boston,46.65,46.24,46.4,46.38,46.43,46.39,46.45,1491000,"35,606",-0.02,Negative,0.61,Positive,9.52,Positive
26/12/2012,STT,Boston,46.68,46.23,46.5,46.47,46.4,46.28,46.83,2720700,"35,606",-0.03,Negative,1.82,Positive,9.15,Positive
