Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
30/11/2012,USB,Minneapolis,32.4,32.07,32.35,32.26,32.15,31.91,31.86,7934800,"71,191",-0.09,Negative,-0.54,Negative,0.57,Positive
3/12/2012,USB,Minneapolis,32.42,31.98,32.35,32.05,31.74,31.75,31.81,7776500,"71,191",-0.3,Negative,-0.33,Negative,0.62,Positive
4/12/2012,USB,Minneapolis,32.16,31.28,32.11,31.43,31.6,31.67,31.78,14722900,"71,191",-0.68,Negative,-0.21,Negative,1.16,Positive
5/12/2012,USB,Minneapolis,31.99,31.32,31.59,31.76,31.78,31.86,31.89,12558200,"71,191",0.17,Positive,0.38,Positive,2.05,Positive
6/12/2012,USB,Minneapolis,31.89,31.63,31.73,31.81,31.91,31.91,31.91,8498100,"71,191",0.08,Positive,0.14,Positive,1.77,Positive
7/12/2012,USB,Minneapolis,32.04,31.66,31.86,32.02,31.96,31.96,31.87,7378400,"71,191",0.16,Positive,-0.29,Negative,1.61,Positive
10/12/2012,USB,Minneapolis,32.19,31.82,31.95,31.9,31.93,31.91,31.74,8762900,"71,191",-0.05,Negative,-0.55,Negative,1.33,Positive
11/12/2012,USB,Minneapolis,32.35,31.9,31.97,31.97,31.92,31.8,31.78,8998700,"71,191",0,Equal,0.12,Positive,1.18,Positive
12/12/2012,USB,Minneapolis,32.18,31.76,32.08,31.87,31.72,31.61,31.9,16342600,"71,191",-0.21,Negative,0.49,Positive,0.68,Positive
13/12/2012,USB,Minneapolis,31.93,31.5,31.88,31.57,31.49,31.69,31.97,9632400,"71,191",-0.31,Negative,0.32,Positive,0.99,Positive
14/12/2012,USB,Minneapolis,31.6,31.29,31.54,31.4,31.75,32.02,32.14,9875700,"71,191",-0.14,Negative,0.9,Positive,1.46,Positive
17/12/2012,USB,Minneapolis,32.11,31.4,31.47,32.09,32.33,32.29,32.36,13315900,"71,191",0.62,Positive,1.01,Positive,1.62,Positive
18/12/2012,USB,Minneapolis,32.66,32.11,32.21,32.57,32.39,32.4,32.4,11899700,"71,191",0.36,Positive,0.1,Positive,0.9,Positive
19/12/2012,USB,Minneapolis,32.64,32.16,32.39,32.2,32.32,32.37,32.34,11286000,"71,191",-0.19,Negative,-0.13,Negative,0.78,Positive
20/12/2012,USB,Minneapolis,32.45,32.03,32.27,32.44,32.46,32.41,32.3,16923000,"71,191",0.17,Positive,-0.25,Negative,0.9,Positive
21/12/2012,USB,Minneapolis,32.54,31.9,32.15,32.48,32.4,32.35,32.15,20627100,"71,191",0.33,Positive,-0.47,Negative,1.18,Positive
24/12/2012,USB,Minneapolis,32.63,32.23,32.47,32.31,32.28,32.2,32.04,4244000,"71,191",-0.16,Negative,-0.53,Negative,0.67,Positive
26/12/2012,USB,Minneapolis,32.4,32.08,32.38,32.26,32.14,31.99,32.17,6984700,"71,191",-0.12,Negative,0.59,Positive,0.72,Positive
27/12/2012,USB,Minneapolis,32.25,31.5,32.07,32.02,31.85,31.88,32.22,9266800,"71,191",-0.05,Negative,0.44,Positive,1.33,Positive
28/12/2012,USB,Minneapolis,32.01,31.67,31.73,31.68,31.81,32.2,32.46,7342100,"71,191",-0.05,Negative,1.49,Positive,1.23,Positive
31/12/2012,USB,Minneapolis,31.95,31.51,31.52,31.94,32.46,32.47,32.71,10879900,"71,191",0.42,Positive,1.4,Positive,1.61,Positive
2/1/2013,USB,Minneapolis,32.98,32.4,32.46,32.97,32.74,32.9,32.92,10045200,"71,191",0.51,Positive,0.51,Positive,1.15,Positive
3/1/2013,USB,Minneapolis,32.96,32.44,32.88,32.51,32.86,32.88,32.98,12697900,"71,191",-0.37,Negative,0.39,Positive,0.66,Positive
4/1/2013,USB,Minneapolis,33.3,32.64,32.85,33.22,33.07,33.04,33.2,11487400,"71,191",0.37,Positive,0.79,Positive,0.8,Positive
7/1/2013,USB,Minneapolis,33.17,32.75,33.1,32.92,32.94,33.05,33.26,8170400,"71,191",-0.18,Negative,0.4,Positive,0.99,Positive
8/1/2013,USB,Minneapolis,33.02,32.64,32.8,32.97,33.12,33.29,33.37,6519800,"71,191",0.17,Positive,0.67,Positive,1.51,Positive
9/1/2013,USB,Minneapolis,33.44,33.07,33.07,33.27,33.45,33.47,33.43,10072300,"71,191",0.2,Positive,0.21,Positive,0.86,Positive
10/1/2013,USB,Minneapolis,33.8,33.2,33.56,33.64,33.57,33.54,33.41,10266200,"71,191",0.08,Positive,-0.41,Negative,0.43,Positive
11/1/2013,USB,Minneapolis,33.58,33.19,33.58,33.5,33.49,33.42,33.23,6768400,"71,191",-0.08,Negative,-0.82,Negative,0.33,Positive
14/01/2013,USB,Minneapolis,33.57,33.2,33.53,33.47,33.38,33.3,33.11,6521600,"71,191",-0.06,Negative,-0.66,Negative,0.55,Positive
15/01/2013,USB,Minneapolis,33.4,33.07,33.39,33.28,33.22,33.06,33.01,9372800,"71,191",-0.11,Negative,-0.39,Negative,0.46,Positive
16/01/2013,USB,Minneapolis,33.27,32.72,32.74,33.15,32.96,32.93,32.97,9143000,"71,191",0.41,Positive,0.35,Positive,1.03,Positive
17/01/2013,USB,Minneapolis,33.36,32.72,33.36,32.76,32.81,32.88,32.97,17747200,"71,191",-0.6,Negative,-0.25,Negative,0.52,Positive
18/01/2013,USB,Minneapolis,32.97,32.54,32.89,32.87,32.93,32.99,33.05,17059600,"71,191",-0.02,Negative,0.28,Positive,0.45,Positive
